Year,Profesión,Situación laboral,Sexo,Territorio histórico,Units,Value
2025,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,0.0
2019,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,128.3
2015,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,123.2
2014,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,120.3
2012,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,117.6
2010,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,112.4
2021,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,132.8
2024,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,137.0
2022,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,132.8
2020,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,131.5
2025,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,139.8
2017,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,126.3
2011,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,116.4
2018,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,127.7
2017,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,126.3
2020,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,131.5
2025,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,139.8
2013,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,118.2
2014,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,120.3
2013,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,118.2
2021,Profesionales de enfermería y obstetricia,,Mujer,Bizkaia,Por 10.000 habitantes,132.8
2010,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,127.6
2010,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2022,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2018,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2015,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,131.2
2016,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2013,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2011,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2021,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2024,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,36.9
2019,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2025,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,39.6
2017,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,131.0
2019,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,132.8
2011,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,125.6
2016,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,131.7
2020,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,135.5
2014,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,130.3
2013,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,128.0
2022,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,136.6
2025,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,142.6
2021,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,136.4
2020,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2025,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,182.2
2016,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,131.7
2017,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,131.0
2018,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,130.5
2021,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,136.4
2023,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,138.4
2023,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,44.6
2014,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2020,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,135.5
2024,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,141.0
2018,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,130.5
2012,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2010,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,127.6
2017,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,124.7
2024,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,177.8
2011,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,125.6
2019,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,132.8
2023,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,183.0
2022,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,136.6
2014,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,130.3
2015,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,131.2
2015,Profesionales de enfermería y obstetricia,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,124.7
2013,Profesionales de enfermería y obstetricia,,Mujer,Gipuzkoa,Por 10.000 habitantes,128.0
2024,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,19.3
2014,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,13.9
2020,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,17.5
2018,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2022,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,18.2
2014,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2011,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,14.4
2013,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,13.5
2021,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,17.9
2010,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,12.5
2019,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,16.3
2018,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,15.5
2025,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.9
2017,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2025,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,20.1
2015,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,14.3
2013,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2020,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2010,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2011,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2015,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,14.3
2024,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.9
2023,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,18.9
2021,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,17.9
2012,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,14.5
2015,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2020,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,17.5
2023,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,1.8
2021,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2013,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,13.5
2017,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,15.1
2014,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,13.9
2017,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,15.1
2025,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,21.0
2022,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,18.2
2024,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,20.2
2019,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,14.5
2023,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,20.8
2022,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2010,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,12.5
2016,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,,Por 10.000 habitantes,0.0
2016,Profesionales de enfermería y obstetricia,,Hombre,,Por 10.000 habitantes,14.8
2016,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,14.8
2011,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,14.4
2018,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,15.5
2019,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,,Por 10.000 habitantes,16.3
2020,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2010,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2014,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2022,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2020,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,18.0
2013,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,12.7
2022,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,19.4
2021,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2025,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,21.2
2015,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,13.9
2023,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,20.1
2015,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2016,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2011,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2010,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,12.2
2022,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,19.5
2012,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,12.5
2018,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,16.2
2021,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,19.5
2016,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,14.8
2014,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,13.6
2017,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,15.4
2018,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.0
2011,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,12.2
2010,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,12.2
2025,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,21.2
2020,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,17.9
2016,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,14.7
2021,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,19.4
2018,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,16.2
2013,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,12.7
2014,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,13.6
2019,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,16.9
2024,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,20.8
2012,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,12.4
2011,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,12.0
2025,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.0
2013,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.0
2024,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,20.6
2015,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,13.8
2017,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.0
2017,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,15.4
2023,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2019,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.1
2019,Profesionales de enfermería y obstetricia,,Hombre,Araba/Álava,Por 10.000 habitantes,17.0
2024,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,0.2
2023,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Araba/Álava,Por 10.000 habitantes,19.9
2019,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,19.3
2021,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,21.1
2016,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,17.7
2025,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,24.1
2022,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,21.5
2023,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,22.4
2018,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,18.4
2024,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,23.0
2012,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,16.2
2013,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,16.3
2015,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,17.1
2010,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,15.2
2011,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2011,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,15.9
2021,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2017,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2013,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2023,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2016,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2015,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2022,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,21.5
2024,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2014,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2020,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2010,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2018,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2022,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2016,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,17.7
2014,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,16.6
2015,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,17.1
2014,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,16.6
2010,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,15.2
2018,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,18.4
2021,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,21.1
2023,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,22.4
2013,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,16.3
2012,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,16.2
2017,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,17.9
2017,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,17.9
2020,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,20.9
2024,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,23.0
2019,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,19.3
2011,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,15.9
2025,Profesionales de enfermería y obstetricia,,Hombre,Bizkaia,Por 10.000 habitantes,24.1
2019,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2025,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,0.0
2020,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Bizkaia,Por 10.000 habitantes,20.9
2011,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2017,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2015,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2013,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2023,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,5.5
2019,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2021,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2024,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,2.7
2025,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,2.8
2016,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2010,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2022,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2012,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2020,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2018,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2014,Profesionales de enfermería y obstetricia,Jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,0.0
2023,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,18.6
2015,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,10.1
2012,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,12.8
2016,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,10.4
2018,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,10.7
2021,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,12.2
2013,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,9.4
2020,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,12.1
2024,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,15.6
2017,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,10.4
2014,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,9.7
2022,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,12.5
2019,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,11.2
2025,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,16.2
2011,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,13.2
2010,Profesionales de enfermería y obstetricia,,Hombre,Gipuzkoa,Por 10.000 habitantes,8.1
2023,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,13.1
2015,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,10.1
2018,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,10.7
2013,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,9.4
2012,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,12.8
2017,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,10.4
2019,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,11.2
2016,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,10.4
2011,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,13.2
2014,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,9.7
2020,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,12.1
2010,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,8.1
2025,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,13.4
2024,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,12.9
2022,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,12.5
2021,Profesionales de enfermería y obstetricia,No jubilados/as,Hombre,Gipuzkoa,Por 10.000 habitantes,12.2
