Value,Number of indicators
"Adierazleak elikagaien segurtasun-gabeziaren bat duten pertsonen proportzioa neurtzen du, 
galdetegi honen arabera: 

- A- Erosten dituzten elikagaiak agortzen zaizkie eta ez dute dirurik gehiago lortzeko 
- B- Ezin dute elikadura orekatua eta askotarikoa eskuratu 
- C- Janari kantitatea murriztu dute edo otordu batzuk ere saltatu dituzte elikatzeko diru nahikorik ez zutelako 
- D- Gertatu bada, ¿zein maiztasunekin gertatu da?
- E- Nahi baino gutxiago jan dute elikagaiak erosteko nahikoa diru ez zeukatelako 
- F- Gose izan dira, baina ez dute jan, nahikoa janari lortu ezin izan dutelako  

Elikagaien segurtasunik eza honela puntuatzen da:
 - Arazorik gabe: Arazo bakarra badu edo bat ere ez
 - Arazo larria: 2 eta 4 arazo artean baditu
 - Arazo oso larria: 5 arazo edo gehiago baditu
",1
"Adierazleak irizpide hauetako bat gutxienez betetzen duten pertsonen proportzioa neurtzen du: 

Pobrezia erlatiboaren arriskuan dauden pertsonak: kontsumo-unitate bakoitzeko diru-sarrerak 
medianaren % 60tik behera dituzten pertsonak (ELGA eskala aldatua). 

Etxeko kontsumo-unitateen kopurua kalkulatzeko, ELGA eskala aldatua erabiltzen da. 
Eskala horrek 1 pisua esleitzen dio 14 urte edo gehiagoko lehen pertsonari, 0,5 pisua 14 urte edo 
gehiagoko gainerako pertsonei eta 0,3 pisua 14 urtetik beherako pertsonei. 

Gabezia material eta sozial larria duten pertsonak: ondoko hamahiru egoeretatik gutxienez 
zazpi pairatzen dituzten pertsonak; zazpi egoera etxeari dagokizkonak dira eta sei pertsonari dagozkionak: 

Etxeari dagozkionak: 
 1. Ezin du urtean gutxienez astebetez oporretara joan. 
 2. Ezin du gutxienez bi egunetik behin haragi-, oilasko- edo arrain-otordurik egin.
 3. Ezin du etxebizitza tenperatura egokian mantendu.
 4. Ez du ustekabeko gastuei aurre egiteko gaitasunik.
 5. Atzerapenak izan ditu etxebizitza nagusiarekin lotutako gastuen ordainketan 
(hipoteka edo alokairua, gas-ordainagiriak, komunitatea, etab.) edo epeka egindako 
erosketetan azken 12 hilabeteetan.
 6. Ezin du kotxerik eduki.
 7. Ezin ditu ordezkatu hondatutako altzariak edo zaharrak.

Pertsonari dagozkionak:
 8. Ezin du hondatutako arroparen ordez berria erosi.
 9. Ezin ditu egoera onean dauden bi zapata pare eduki.
 10. Ezin du zerbait jateko edo edateko lagunekin/familiarekin elkartu hilean behin gutxienez.
 11. Ezin du aldizka aisialdiko jardueretan parte hartu.
 12. Ezin du bere buruarentzako gauzetan diru kopuru txiki bat gastatu.
 13. Ezin du Interneteko konexiorik ordaindu.

16 urtetik beherakoen kasuan, pertsonari dagozkion azken sei kontzeptuak ez daude eskuragarri. 
Adingabe horien kasuan, elementu horien balioak 16 urte edo gehiago dituzten etxeko kideentzat 
jasotako balioetatik abiatuta egozten dira. 

Lan-intentsitate txikia: etxe horietako lan egiteko adinean dauden kideek beren lan-potentzial osoaren % 20 
baino gutxiago lan egin zuten erreferentziako urtean; lan egiteko adinean dauden kidetzat hartzen dira 18 eta 64 
urteko arteko pertsonak (salbu eta 18 eta 24 urte bitarteko ikasleak, erretiratuak, eta 60-64 urte bitarteko 
pertsona ez-aktiboak, horien etxeko diru-sarreren iturri nagusia pentsioak badira). Aldagai hori ez da aplikatzen 
65 urte edo gehiagoko pertsonen kasuan. 
",1
"
Adierazleak neurtzen du lege-esparruak zenbateraino bermatzen duen lurren jabetza edo kontrolerako 
emakumeen eskubide berdintasuna, lege-esparrua nazioartean onartutako sei proxyrekiko alderatuz; proxy horiek
Emakumearen aurkako diskriminazio-modu guztiak ezabatzeari buruzko Konbentzioan eta Lurra edukitzeko 
gobernantza arduratsuari buruzko borondatezko jarraibideetan onartutakoak dira:

 - A proxya: Lurren nahitaezko edo sustatutako erregistro bateratua

 - B proxya: Lurren transakzioetarako ezkontidearen adostasunaren betebeharra

 - C proxya: Herentzia-eskubideen berdintasuna

 - D proxya: Emakumeen lurren jabetza eta kontrola areagotzeko finantza-baliabideen esleipena

 - E proxya: Ohiturazko eskubidea aitortzen duten legezko sistemetan, emakumeen jabetzarako eskubideen babes esplizitua egotea

 - F proxya: Nahitaezko kuotak lurren kudeaketan eta administrazioan  
",1
"
Adierazlearen emaitza % 100 da, udalak baitira giza kontsumorako uraren kalitatearen erantzule,  eta zuzenean edo kudeatzaile baten bidez kudeatu dezakete uraren hornidura (140/2003 Errege Dekretua,  otsailaren 7koa, giza kontsumorako uraren kalitatearen osasun-irizpideak ezartzen dituena). Halaber,  udalak dira bainatzeko uren kudeaketaren arduradunak (1341/2007 Errege Dekretua, urriaren 11koa,  bainatzeko uren kalitatearen kudeaketari buruzkoa).",1
"
Ase gabeko behar autoinformatuak esan nahi du pertsonak berak ebaluatzen duela azterketa edo  tratamendu medikurik behar duen (hortzen zainketa izan ezik), baina ez duen lortu edo ez duen bilatu ",1
"
Autonomia-erkidegoen aurrekontu-likidazioen datu bateratuak Tokiko Finantza Bitartekaritzatik eta 
Nekazaritza Politika Erkidetik hartzen dira, araztuta. 

Lehen seriean, zergen bidezko diru-sarreratzat hartzen dira sailkapen ekonomikoaren 1 kapituluan 
(zuzeneko zergak) eta 2 kapituluan (zeharkako zergak) jasotakoak. Diru-sarrera ez-finantzarioak 
1 kapitulutik 5era bitartekoak dira. Autonomia-erkidegoaren eta toki-erakundeen arteko 
transferentzien kontabilizazio bikoitza kendu da. 

Bigarren seriean diru-sarrera ez-finantzarioak eta finantzarioak sartzen dira (9. kapitulua). 
Barne-transferentziak ere finkatzen dira, bikoiztasunak saihesteko. 
",1
"
Autonomia erkidegoetako aurrekontu-likidazioen datu bateratuak araztuta hartzen dira tokiko finantza-bitartekaritzatik  eta NPEtik (nekazaritza-politika erkidea)",1
"Biztanleria Jardueraren Arabera Sailkatzeko Inkestatik datozen datuak urtekoak dira, adin-taldearen arabera, 
eta azken 4 asteetan egindako jarduerei buruz galdetzen da.

Biztanleria helduak ikaskuntza-jardueretan duen parte-hartzeari buruzko inkestatik datozen datuak 18-64 
adin-taldekoak dira, eta azken 12 hilabeteetan egindako jarduerei buruz galdetzen da.  
",1
"Desgaitasuna duten pertsonak % 33ko edo hortik gorako desgaitasun-maila duten pertsonak eta hauei parekatuak dira, 1/2013 Legegintzako Errege Dekretuaren arabera.",1
"
Diru-sarrera baliokidea etxeko diru-sarrera erabilgarria da, etxeko kontsumo-unitate kopuruaren arabera  zatitua, ELGAren (Ekonomia Lankidetza eta Garapenerako Erakundea) baliokidetasun-eskala aldatua erabiliz. Helburua da tamaina eta osaera desberdina duten etxeen arteko bizi-mailak modu parekatuan alderatzea.",1
"Diru-sarrera baliokidea etxeko diru-sarrera erabilgarria da, etxeko  kontsumo-unitate kopuruaren arabera zatitua, ELGAren (Ekonomia Lankidetza eta Garapenerako Erakundea) baliokidetasun-eskala aldatua erabiliz. Eskala horren arabera, 1eko pisua ematen zaio 14 urteko edo gehiagoko lehen pertsonari, 0,5eko pisua 14 urteko edo  gehiagoko gainerako pertsonei, eta 0,3koa, azkenik, 14 urtetik beherakoei. Helburua da tamaina eta osaera desberdina duten etxeen arteko bizi-mailak modu parekatuan alderatzea.",1
"EAEko administrazioen diru-sarrera bateratuak autonomia-erkidegoen eta toki-erakundeen 
diru-sarrerak batuz lortzen dira, haien arteko transferentziak kenduta (arruntak zein 
kapitalekoak), kontabilizazio bikoitza saihesteko. 

Arabako, Bizkaiko eta Gipuzkoako lurraldekako adierazleak bat datoz lurralde historiko 
bakoitzeko toki-erakundeen datuekin, administrazio autonomikoaren diru-sarrerak eta 
transferentzien kontsolidazioa kontuan hartu gabe. 
",1
"
Ekonomia Lankidetza eta Garapenerako Antolakundeko (ELGA) Garapenean Laguntzeko Batzordeak  (GLB) ezartzen du garapenerako laguntza ofiziala jaso dezaketen herrialdeen zerrenda.  Diru-sarrera txikiko eta ertaineko herrialdeak dira, Munduko Bankuak argitaratutako per capita  diru-sarrera nazional gordinean oinarrituta, G8ko kideak, EBko kideak eta EBn sartzeko data  irmoa duten herrialdeak izan ezik. ",1
"
Ekonomia Lankidetza eta Garapenerako Antolakundeko (ELGA) Garapenean Laguntzeko Batzordeak  (GLB) ezartzen du garapenerako laguntza ofiziala jaso dezaketen herrialdeen zerrenda. Diru-sarrera  txikiko eta ertaineko herrialdeak dira, Munduko Bankuak argitaratutako per capita diru-sarrera  nazional gordinean oinarrituta, G8ko kideak, EBko kideak eta EBn sartzeko data irmoa duten herrialdeak  izan ezik. ",1
"
Emandako emaitzak lortzeko, Txertaketen Programaren eta Erregistroaren Ponentziak proposatutako 
eta Osasun Publikoaren Batzordeak 2017ko urrian adostutako definizioak erabiltzen dira. Ordutik, 
biztanleriaren jaiotza-kohorteen arabera kalkulatzen dira txertaketa-estaldurak.

Ez dira sartzen farmazia-bulegoetan erositako txertoak, ezta osasun-sektore pribatuak emandakoak 
ere. 
",1
"
Erabilera publikoak barne hartzen ditu erakunde hornitzaileen kontsumo propioa eta doako hornidurak.

Nekazaritza eta abeltzaintzako erabilerak ez du barne hartzen Ureztatzaileen Komunitateen kontsumoa, 
ezta EAEko nekazaritza eta abeltzaintzako erabilera orokorrak ere.
",1
"
Errenta baliokidea etxe bateko guztizko diru-sarreretatik eta diru-sarrera horietatik bizi diren pertsonen kopuru eta adinetik eratorritako balio bat da.",1
"Ertzaintzak eta udaltzaingoek bildutako datuak. Datuek 15.000 biztanletik gorako herrietan erregistratutako  dolozko homizidioak baino ez dituzte biltzen. 
Europar Batasunean ezarritako oinarrizko tipologia komunak erabiltzen dira (EUROSTAT estatistika-bulegoaren  bidez), herrialdeetako polizia-kidegoek ezagutzen dituzten arau-hauste penalei dagokienez. ",1
Etxebizitza nagusia da urte osoan edo urte gehienean pertsona batek edo gehiagok  ohiko bizileku gisa erabiltzen duten etxea.,1
Etxebizitza nagusia da urte osoan edo urtearen zatirik handienean pertsona batek edo gehiagok ohiko  bizileku gisa erabiltzen duten etxebizitza.,1
"
Etxeko kontsumo-unitateen kopurua kalkulatzeko, ELGA eskala aldatua erabiltzen da.  Eskala horrek 1 pisua esleitzen dio 14 urte edo gehiagoko lehen pertsonari, 0,5 pisua 14 urte edo  gehiagoko gainerako pertsonei eta 0,3 pisua 14 urtetik beherako pertsonei.",1
"
Euskadin, Euskadiko Babes Zibileko Planak (LABI) ezarritakoaren arabera, 20.000 biztanletik gorako 
udalerriek larrialdietarako udal-planak egin eta onartu behar dituzte.

5.000 biztanletik gorako udalerrietan, Toki Araubidearen Oinarriak arautzen dituen Estatuko araudiarekin 
bat etorriz, jarraibide hau gomendagarria da. 2024an, 5.000 eta 20.000 biztanle arteko udalerrien % 96k 
eta 1.000 eta 5.000 biztanle arteko udalerrien % 25ek Udal Larrialdi Plan homologatua dute.
",2
"
Euskadin, Euskadiko Babes Zibileko Planak (LABI) ezarritakoaren arabera, 20.000 biztanletik gorako 
udalerriek larrialdietarako udal-planak egin eta onartu behar dituzte. 

5.000 biztanletik gorako udalerrietan, Toki Araubidearen Oinarriak arautzen dituen Estatuko araudiarekin 
bat etorriz, jarraibide hau gomendagarria da. 2024an, 5.000 eta 20.000 biztanle arteko udalerrien % 96k 
eta 1.000 eta 5.000 biztanle arteko udalerrien % 25ek Udal Larrialdi Plan homologatua dute. 
",1
"
Gainazaleko uren ebaluazioa (egoera ekologikoa) Europako Parlamentuaren eta Kontseiluaren 2000/60/EE 
Zuzentarauaren arabera egiten da.

Lurpeko uren ebaluazioa Lurrazaleko eta lurpeko uren egoera ebaluatzeko gidaren arabera egiten da. Gida 
hori Ingurumeneko Estatu Idazkariaren (SEMA) 2020ko urriaren 14ko Instrukzioaren bidez onartu zen.

Ur-masen zentsua bat dator urtarrilaren 24ko 35/2023 Errege Dekretuaren arabera Euskal Autonomia Erkidegoan 
presentzia nabarmena duten masekin. Errege Dekretu horrek onartzen du Kantauri Mendebaldeko, Guadalquivirreko, Ceutako, Melillako, Segurako eta 
Jucarreko demarkazio hidrografikoen eta Kantauri Ekialdeko, Miño-Sileko, Dueroko, Tajoko, Guadianako eta 
Ebroko demarkazio hidrografikoen Espainiako zatiaren plan hidrologikoen berrikuspena.

Adierazitako aldirako, ebaluazioak irizpide homogeneoen bidezko egoera-berrikuspenei dagozkie, 35/2023 Errege 
Dekretuari eta izandako aurrerapen teknikoei jarraiki.
",1
"
Gaixotasunen Nazioarteko Sailkapenaren kode hauek erabiltzen dira transmititu ezin den gaixotasun bakoitzerako: 
- gaixotasun kardiobaskularrak (GNS-10eko I00-I99 kodeak)
- minbizia (GNS-10eko C00-C97 kodeak)
- diabetesa (GNS-10eko E10-E14 kodeak)
- arnas gaixotasun kronikoak (GNS-10eko J30-J98 kodeak)  
",1
"
Gerta daiteke adierazle hau gehiegi handitzea, pertsona bera pertsona-trafikoaren biktima izan delako 
bi esplotazio-motatan edo gehiagotan eta ezin izan delako identifikatu konfidentzialtasun-arrazoien 
zioz. Era berean, adierazlea Estatu-mailan ere gerta liteke gainestimazioa izatea, pertsona bat bi 
autonomia-erkidegotan edo gehiagotan identifikatu delako pertsona-trafikoaren biktima gisa eta ez ezin 
delako identifikatu konfidentzialtasun-arrazoien ondorioz. 

Pertsonen salerosketa: pertsonak hartu, garraiatu, lekualdatu edo jasotzea, mehatxupean edo indarrera 
joz nahiz beste hertsatze-modu batzuk baliatuz, besteak beste bahiketa, iruzurra, engainua, botere-gehiegikeria 
edo zaurgarritasun-egoera, edo ordainketak edo onurak jasoz edo emanez pertsona baten gaineko boterea duen 
pertsona baten baimena lortzeko esplotaziorako. Esplotazioaren barruan sartzen dira, besteak beste -eta 
gutxienez-, besteren prostituzioa esplotatzea, beste sexu-esplotazio mota batzuk, lan edo zerbitzu behartuak, 
esklabotza edo antzeko praktikak, morrontza edo organoen erauzketa. 
",1
"
""Hektareako ekoizpen-maila desiragarria edo onargarria lortu duen nekazaritza-azaleraren proportzioa""  seriea interpretatzeko orduan, kontuan hartu behar da adierazle erlatiboa dela; izan ere, ustiategi  baten produktibitate-maila ez dago soilik hektareako duen ekoizpenaren mende, lurralde bereko  eta orientazio tekniko-ekonomiko bereko (nekazaritza, abeltzaintza edo mistoa) ustiategien hektareako  ekoizpenaren mende ere badago.
""Diru-sarrera garbien maila desiragarria edo onargarria lortu duen nekazaritza-azaleraren proportzioa""  seriea interpretatzeko orduan, kontuan hartu behar da adierazle absolutua dela, ustiategi baten  errentagarritasun-maila azken hiru urteetan izan dituen diru-sarrera garbien mende baitago soilik.  ",1
"
Helduen gaitasunak nazioartean ebaluatzeko programak 500 puntuko eskala erabiltzen du irakurmen eta matematika 
gaitasunak ebaluatzeko. Puntuazio horiek interpretatzen laguntzeko, eskala sei kategoriatan banatzen da:

 - 1 maila baino txikiagoa: 176 puntu baino gutxiago 
 - 1 maila: 176 eta 225 arteko puntuazioa
 - 2 maila: 226 eta 275 arteko puntuazioa
 - 3 maila: 276 eta 325 arteko puntuazioa
 - 4 maila: 326 eta 375 arteko puntuazioa
 - 5 maila: 376 eta 500 arteko puntuazioa

Pertsona batek, gutxienez, 2 mailako gaitasuna lortzen du irakurmen-eskalan, normalean gai denean ezagutzen 
ez dituen gaiei buruzko testuak ulertzeko, nahiz eta zailtasunak izan hainbat testu alderatu eta kontrastatzeko 
edo ezagutzen ez duen gai jakin bati buruzko testu digitalak bilatzeko.

Pertsona batek, gutxienez, 2 mailako gaitasuna lortzen du matematika eskalan, normalean gai denean bitarteko kalkuluak behar 
dituzten galderei erantzuteko, taula bateko informazio matematikoa ulertzen duenean eta grafiko 
sinpleak interpretatzeko zailtasunik ez duenean, nahiz eta zailtasunak izan proportzioak maneiatzeko edo grafiko 
konplexuak interpretatzeko.

2012ko datua 2011ko hirugarren lauhilekoaren eta 2012ko lehen lauhilekoaren artean egindako azterketari dagokio.
",1
"
Hiri-aglomerazio baten karga kutsatzailea biztanle baliokideetan neurtzen da, eta biztanle baliokide bat 
honela definitzen da: karga organiko biodegradagarria, eguneko 60 gramo oxigenoko bost eguneko oxigeno-eskari 
biokimikoarekin. Biztanle baliokide bat pertsona batek etxebizitza arrunt batean egun batean sortzen duen 
karga organiko biodegradagarria da.

Kontuan izan behar da hiri-aglomerazio baten karga kutsatzaileak ez duela soilik giza iraizteek eragindako 
kutsadura hartzen, baita merkataritza- edo industria-jarduera bat egiteko erabiltzen diren lokalek eragindako 
kutsadura ere, betiere izaera organiko biodegradagarria badu. Beraz, hiri-aglomerazio bateko biztanle 
baliokideen kopurua beti da benetako biztanle-kopurua baino handiagoa.

Adierazle honek 2.000 biztanletik gorako hiri-aglomerazioak bakarrik hartzen ditu kontuan, hiriko hondakin-uren 
tratamenduari buruzko 91/271/EEE Zuzentarauaren 3. eta 4. artikuluekin bat etorriz.
",1
"
HNSN: Hezkuntzaren Nazioarteko Sailkapen Normalizatua (UNESCO - 2011). 
Erreferentziako sailkapen estatistiko bat da, hezkuntza-programak eta dagozkien ziurtagiriak 
hezkuntza-mailen eta ikasketa-eremuen arabera sailkatzeko aukera ematen duena.

HNSNren definizioak eta oinarrizko kontzeptuak nazioartean baliozkoak izateko eta hezkuntza-sistema guztiak 
sartzeko pentsatuta daude. UNESCOko Estatu Kideen Konferentzia Orokorrak formalki onartutako nazioarteko 
akordio baten emaitza da.
",1
"
Ikasleen nazioarteko ebaluaziorako programak puntuazio-sistema bat erabiltzen du, eta ez dago gehieneko eta 
gutxieneko puntuaziorik. Emaitzak eskalatu egiten dira, batez beste 500 puntuko banaketa normal bati eta 100 puntuko 
desbiderapen tipiko bati erantzuteko moduan. 

Puntuazio horiek interpretatzen laguntzeko, ondoko kategoriak ezartzen dira irakurketa konpetentziarako: 

1c maila baino txikiagoa: 189,33 puntu baino gutxiago 
1c maila: 189,33 eta 262,03 arteko puntuazioa 
1b maila: 262,04 eta 334,74 arteko puntuazioa 
1. maila: 334,75 eta 407,46 arteko puntuazioa 
2. maila: 407,47 eta 480,17 arteko puntuazioa 
3. maila: 480,18 eta 552,88 arteko puntuazioa 
4. maila: 552,89 eta 625,60 arteko puntuazioa 
5. maila: 625,61 eta 698,31 arteko puntuazioa 
6. maila: 698,31tik gorako puntuazioa  

Pertsona batek, gutxienez, irakurtzeko gaitasunaren 2. maila lortzen du, baldin eta, luzera ertaineko testu 
baten ideia nagusia identifika badezake, bere atalen arteko harremanak uler baditzake, testuaren zati mugatu 
baten esanahia oinarrizko inferentzien bidez interpreta badezake, informazio zati bat edo gehiago koka baditzake 
partzialki inplizituak diren hainbat irizpide kontuan hartuta, testuaren helburu orokorrari edo espezifikoari 
buruz gogoeta egin badezake, baieztapenak alderatu baditzake, eta baieztapen horien oinarrian dauden arrazoibideak 
ebaluatu baditzake, testuaren eta kanpoko ezagutzaren arteko loturak ezarriz.

Matematikako konpetentziarako kategoria hauek ezartzen dira: 

1. maila baino txikiagoa: 357,77 puntu baino gutxiago 
1. maila: 357,77 eta 420,06 arteko puntuazioa 
2. maila: 420,07 eta 482,37 arteko puntuazioa 
3. maila: 482,38 eta 544,67 arteko puntuazioa 
4. maila: 544,68 eta 606,98 arteko puntuazioa 
5. maila: 606,99 eta 669,29 arteko puntuazioa 
6. maila: 669,29tik gorako puntuazioa 

Pertsona batek matematikako konpetentziako 2. maila lortzen du, gutxienez, zuzeneko inferentzia baino eskatzen 
ez duten testuinguruetako egoerak interpretatzen eta ezagutzen dakienean, iturri bakar batetik informazio 
egokia ateratzen eta irudikatzeko modu bakarra erabiltzen dakienean, algoritmoak, formulak, prozedurak 
edo oinarrizko konbentzioak erabiltzen dituenean zenbaki osoekin lotutako problemak ebazteko, eta zuzeneko 
arrazoibideak eta emaitzen hitzez hitzeko interpretazioak egiten baditu.
",1
"Kalte-ordainak ezbeharra gertatu den lekuari eta urteari esleituko zaizkie, atzerrian  gertatutako ezbeharrak kontuan hartu gabe.",1
Kalte-ordainak ezbeharra gertatu den lekurako eta urterako esleitzen dira; atzerrian gertatutako  ezbeharrak ez dira sartzen. ,1
Kasu autoktonoak dira gaixotasuna lurralde nazionalean harrapatu dutenak. Euskal Autonomia Erkidegoa ez da gaur egun malariaren transmisio-gunea. ,1
Kasu autoktonoak dira gaixotasuna lurralde nazionalean harrapatu dutenak.,1
Kasu autoktonoak dira gaixotasuna lurralde nazionalean harrapatu dutenak,1
"Kontuan izan behar da Espainian errefuxiatu-izaera edo antzeko nazioarteko babes-baldintza aitortuta duten pertsonen kopurua autonomiaerkidegoen arabera bereiztea ez dela bizilekuaren arabera egiten, baizik eta izaera hori eragin zuen administrazio-izapidea egin zen lekuaren arabera.",1
"
""Langabezia-prestazioak jasotzen dituzten langabeen proportzioa"" seriea tentuz hartu behar da, 
eta ez da interpretatu behar prestazio bat jasotzen duten langabeen proportzio gisa; izan ere, 
aldizkako langile finkoen bolumen handiak estaldura-tasa handia eragin dezake, baita 100 baino 
handiagoa ere.
",1
"
Nazio Batuek ""BAI/EZ"" motako 42 galderako galdetegi bat ezarri zuten, gobernuek genero-berdintasuna 
sustatzeko, indartzeko eta ikuskatzeko marko juridikoak ezartzeko egiten dituzten ahaleginak 
neurtzeko. Galdetegi hori Emakumearen aurkako diskriminazio mota guztiak ezabatzeari buruzko Konbentzioan (CEDAW)
eta Beijingo Ekintza Plataforman ezarritako lau arlotan zatitzen da:

 1. Lege-marko orokorra eta bizitza publikoa (1-12 galderak)
 2. Emakumeen aurkako indarkeria (13-21 galderak)
 3. Enplegua eta dirulaguntza ekonomikoak (22-31 galderak)
 4. Ezkontza eta familia (32-42 galderak)
",1
"
Nekazaritzari esleitutako amoniako-isuriak ondoko NFR (Nomenclature for Reporting) kodeak dituzten 
jarduerei dagozkienak dira: 3Da1, 3Da2a, 3Da2b, 3Da2c, 3Da3, 3Da4, 3Db, 3Dc, 3Dd, 3De, 3Df, 3F eta 3I.

Abeltzaintzari esleitutako amoniako-isuriak ondoko NFR (Nomenclature for Reporting) kodeak dituzten 
jarduerei dagozkienak dira: 3B1a, 3B1b, 3B2, 3B3, 3B4a, 3B4d, 3B4e, 3B4f, 3B4gi, 3B4gii, 3B4giii, 3B4giv eta 3B4h.
",1
"Neurketa-laginak autonomia-erkidegoen arabera esleitzeko, lurreko punturik hurbilena hartzen da kontuan.",1
"
Sexu-jazarpena ez den jazarpentzat jotzen da askatasunaren aurkako jazarpena (zigor-kodearen 172 ter artikulua), higiezinei lotutako  jazarpena (zigor-kodearen 172.1.3 artikulua) eta lan- edo funtzio-jazarpena (zigor-kodearen 173.1 artikulua). 
Datuak polizia jarduketen estatistiketatik datoz. Delitu ezagunak, biktimak eta susmagarriak biltzen dituzte. Datuek poliziari jakinarazitako kasuak laburbiltzen dituztenez, zifrek errealitatea gutxietsi dezakete.",1
