Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
NV_IND_TECH,Proporción del valor añadido por la industria de tecnología mediana y alta en el valor añadido total,NV_IND_TECH,NV_IND_TECH,1,1
NY_GDP_MKTP_KD_ZG,Tasa de variación interanual del PIB,NY_GDP_MKTP_KD_ZG,NY_GDP_MKTP_KD_ZG,4,1
PD_AGR_LSFP,Productividad de los grandes productores de alimentos,PD_AGR_LSFP,PD_AGR_LSFP,4,1
PD_AGR_SSFP,Productividad de los pequeños productores de alimentos,PD_AGR_SSFP,PD_AGR_SSFP,4,1
POSTFIS_DIS_INC,Índice de Gini del ingreso disponible equivalente (postfiscal),POSTFIS_DIS_INC,POSTFIS_DIS_INC,1,1
SE_ADT_EDUCTRN,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,SE_ADT_EDUCTRN,SE_ADT_EDUCTRN,36,1
SE_TOT_CPLR,Tasa de finalización (educación secundaria inferior y educación secundaria superior),SE_TOT_CPLR,SE_TOT_CPLR,2,1
SE_TRA_GRDL,"Proporción de docentes con las calificaciones mínimas requeridas, desglosada por nivel educativo",SE_TRA_GRDL,SE_TRA_GRDL,4,1
SG_DMK_JDC,Proporción de mujeres en el poder judicial en relación con la proporción de mujeres en la población,SG_DMK_JDC,SG_DMK_JDC,1,1
SG_DMK_PARLMP_LC,Proporción de mujeres en el parlamento en relación con la proporción de mujeres en la población,SG_DMK_PARLMP_LC,SG_DMK_PARLMP_LC,1,1
SG_DMK_PSRVC,Proporción de mujeres en la administración pública en relación con la proporción de mujeres en la población,SG_DMK_PSRVC,SG_DMK_PSRVC,56,1
SG_DSR_SILS,Proporción de municipios que disponen de un plan municipal de emergencias,SG_DSR_SILS,SG_DSR_SILS,828,3
SG_LGL_GENEQEMP,Area 3: empleo y subsidios económicos,SG_LGL_GENEQEMP,SG_LGL_GENEQEMP,1,1
SG_LGL_GENEQLFP,Area 1: marco legal global y vida pública,SG_LGL_GENEQLFP,SG_LGL_GENEQLFP,1,1
SG_LGL_GENEQMAR,Area 4: matrimonio y familia,SG_LGL_GENEQMAR,SG_LGL_GENEQMAR,1,1
SG_LGL_GENEQVAW,Area 2: violencia contra la mujer,SG_LGL_GENEQVAW,SG_LGL_GENEQVAW,1,1
SG_REG_BRTH100N,Se ha registrado el 100% de los nacimientos y al menos el 80% de las defunciones,SG_REG_BRTH100N,SG_REG_BRTH100N,1,1
SG_REG_CENSUSN,Se ha realizado al menos un censo de población y vivienda en los últimos diez años,SG_REG_CENSUSN,SG_REG_CENSUSN,1,1
SH_ALC_CONSPT,Consumo de alcohol per cápita (a partir de los 15 años de edad) durante un año civil ,SH_ALC_CONSPT,SH_ALC_CONSPT,1,1
SH_DTH_NCOM,Tasa de mortalidad prematura (entre 30 y 70 años),SH_DTH_NCOM,SH_DTH_NCOM,3,1
SH_H2O_SAFE,Población que utiliza servicios de suministro de agua potable gestionados sin riesgos,SH_H2O_SAFE,SH_H2O_SAFE,1,1
SH_HIV_INCD,Número de nuevas infecciones por el VIH por cada 1.000 habitantes ,SH_HIV_INCD,SH_HIV_INCD,3,1
SH_MED_DEN,Densidad y distribución del personal sanitario,SH_MED_DEN,SH_MED_DEN,48,1
SH_STA_MALR,Incidencia de la malaria por cada 1.000 habitantes,SH_STA_MALR,SH_STA_MALR,3,1
SH_STA_POISN,Tasa de mortalidad atribuida a intoxicaciones involuntarias,SH_STA_POISN,SH_STA_POISN,12,1
SH_STA_SCIDE,Tasa de mortalidad por suicidio,SH_STA_SCIDE,SH_STA_SCIDE,12,1
SH_STA_TRAF,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,SH_STA_TRAF,SH_STA_TRAF,12,1
SH_TBS_INCD,Incidencia de la tuberculosis por cada 100.000 habitantes,SH_TBS_INCD,SH_TBS_INCD,3,1
SI_AGR_LSFP,Ingresos medios de los grandes productores de alimentos,SI_AGR_LSFP,SI_AGR_LSFP,4,1
SI_AGR_SSFP,Ingresos medios de los pequeños productores de alimentos,SI_AGR_SSFP,SI_AGR_SSFP,4,1
SI_COV_PENSN,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,SI_COV_PENSN,SI_COV_PENSN,12,1
SI_COV_UEMP,Proporción de personas desempleadas que reciben prestaciones por desempleo,SI_COV_UEMP,SI_COV_UEMP,12,1
SL_EMP_EARN,Ingreso medio por hora ,SL_EMP_EARN,SL_EMP_EARN,5,1
SL_EMP_GTOTL,Proporción del PIB generada por el trabajo,SL_EMP_GTOTL,SL_EMP_GTOTL,4,1
SL_TLF_NEET_19ICLS,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",SL_TLF_NEET_19ICLS,SL_TLF_NEET_19ICLS,12,1
SL_TLF_UEM,Tasa de desempleo,SL_TLF_UEM,SL_TLF_UEM,4,1
SP_ACS_BSRVH2O,Proporción de viviendas con agua corriente,SP_ACS_BSRVH2O,SP_ACS_BSRVH2O,550,2
SP_ACS_BSRVSAN,Proporción de viviendas con baño,SP_ACS_BSRVSAN,SP_ACS_BSRVSAN,550,2
SP_DYN_ADKL,Tasa de fecundidad de las adolescentes (entre 10 y 14 años y entre 15 y 19 años),SP_DYN_ADKL,SP_DYN_ADKL,2,1
SP_GNP_WNOWNS,"Proporción de mujeres entre los propietarios o los titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia",SP_GNP_WNOWNS,SP_GNP_WNOWNS,12,1
SP_LGL_LNDAGSEC,Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre tierras agrícolas,SP_LGL_LNDAGSEC,SP_LGL_LNDAGSEC,12,1
ST_GDP_ZS,PIB generado por el turismo en proporción al PIB total,ST_GDP_ZS,ST_GDP_ZS,4,1
UE_HEI_HE,Tasa de crecimiento del gasto familiar per cápita,UE_HEI_HE,UE_HEI_HE,8,1
UE_HEI_HI,Tasa de crecimiento del ingreso familiar per cápita,UE_HEI_HI,UE_HEI_HI,2,1
