Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES01046,Erriberagoitia / Ribera Alta,Erriberagoitia/Ribera Alta,Erriberagoitia/Ribera Alta,40,17
ES01047,Ribera Baja / Erriberabeitia,Ribera Baja/Erriberabeitia,Ribera Baja/Erriberabeitia,40,17
ES01049,Añana,Añana,Añana,40,17
ES01051,Agurain / Salvatierra,Agurain/Salvatierra,Agurain/Salvatierra,40,17
ES01052,Samaniego,Samaniego,Samaniego,40,17
ES01053,San Millán / Donemiliaga,San Millán/Donemiliaga,San Millán/Donemiliaga,40,17
ES01054,Urkabustaiz,Urkabustaiz,Urkabustaiz,40,17
ES01055,Valdegovía / Gaubea,Valdegovía/Gaubea,Valdegovía/Gaubea,40,17
ES01056,Harana / Valle de Arana,Harana/Valle de Arana,Harana/Valle de Arana,40,17
ES01057,Villabuena de Álava / Eskuernaga,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,40,17
ES01058,Legutio,Legutio,Legutio,40,17
ES01059,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,40,17
ES01060,Yécora / Iekora,Yécora/Iekora,Yécora/Iekora,40,17
ES01061,Zalduondo,Zalduondo,Zalduondo,40,17
ES01062,Zambrana,Zambrana,Zambrana,40,17
ES01063,Zuia,Zuia,Zuia,40,17
ES01901,Iruña Oka / Iruña de Oca,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,40,17
ES01902,Lantarón,Lantarón,Lantarón,40,17
ES20001,Abaltzisketa,Abaltzisketa,Abaltzisketa,40,17
ES20002,Aduna,Aduna,Aduna,40,17
ES20003,Aizarnazabal,Aizarnazabal,Aizarnazabal,40,17
ES20004,Albiztur,Albiztur,Albiztur,40,17
ES20005,Alegia,Alegia,Alegia,40,17
ES20006,Alkiza,Alkiza,Alkiza,40,17
ES20007,Altzo,Altzo,Altzo,40,17
ES20008,Amezketa,Amezketa,Amezketa,40,17
