Year,Tipo de tecnología renovable,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,,,,Antzuola,Watts per cápita,Antzuola,49.8
2015,,,,Antzuola,Watts per cápita,Antzuola,10.7
2013,,,,Añana,Watts per cápita,Añana,33.9
2017,,,,Añana,Watts per cápita,Añana,33.3
2015,,,,Añana,Watts per cápita,Añana,35.2
2011,,,,Añana,Watts per cápita,Añana,34.5
2016,,,,Añana,Watts per cápita,Añana,33.5
2018,,,,Añana,Watts per cápita,Añana,32.3
2022,,,,Añana,Watts per cápita,Añana,33.7
2023,,,,Añana,Watts per cápita,Añana,35.9
2014,,,,Añana,Watts per cápita,Añana,35.9
2019,,,,Añana,Watts per cápita,Añana,33.5
2012,,,,Añana,Watts per cápita,Añana,36.1
2010,,,,Añana,Watts per cápita,Añana,34.7
2020,,,,Añana,Watts per cápita,Añana,34.3
2021,,,,Añana,Watts per cápita,Añana,33.7
2023,,,,Arakaldo,Watts per cápita,Arakaldo,36.0
2016,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2019,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2022,,,,Arakaldo,Watts per cápita,Arakaldo,35.4
2013,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2017,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2014,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2020,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2018,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2010,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2021,,,,Arakaldo,Watts per cápita,Arakaldo,37.3
2015,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2011,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2012,,,,Arakaldo,Watts per cápita,Arakaldo,0.0
2017,,,,Arama,Watts per cápita,Arama,110.0
2013,,,,Arama,Watts per cápita,Arama,104.5
2021,,,,Arama,Watts per cápita,Arama,116.2
2012,,,,Arama,Watts per cápita,Arama,104.5
2011,,,,Arama,Watts per cápita,Arama,115.0
2015,,,,Arama,Watts per cápita,Arama,109.5
2018,,,,Arama,Watts per cápita,Arama,113.9
2023,,,,Arama,Watts per cápita,Arama,143.8
2022,,,,Arama,Watts per cápita,Arama,117.9
2016,,,,Arama,Watts per cápita,Arama,109.0
2014,,,,Arama,Watts per cápita,Arama,108.0
2010,,,,Arama,Watts per cápita,Arama,0.0
