Year,Province,County,Municipality,Units,GeoCode,Value
2022,,,Aramaio,"Per 10,000",Aramaio,0.0
2019,,,Aramaio,"Per 10,000",Aramaio,0.0
2021,,,Aramaio,"Per 10,000",Aramaio,13.9
2023,,,Aramaio,"Per 10,000",Aramaio,14.3
2023,,,Arantzazu,"Per 10,000",Arantzazu,151.5
2021,,,Arantzazu,"Per 10,000",Arantzazu,53.9
2022,,,Arantzazu,"Per 10,000",Arantzazu,0.0
2020,,,Arantzazu,"Per 10,000",Arantzazu,0.0
2019,,,Arantzazu,"Per 10,000",Arantzazu,167.1
2023,,,Areatza,"Per 10,000",Areatza,62.5
2019,,,Areatza,"Per 10,000",Areatza,64.2
2021,,,Areatza,"Per 10,000",Areatza,32.0
2022,,,Areatza,"Per 10,000",Areatza,31.1
2020,,,Areatza,"Per 10,000",Areatza,64.1
2021,,,Aretxabaleta,"Per 10,000",Aretxabaleta,17.1
2019,,,Aretxabaleta,"Per 10,000",Aretxabaleta,5.8
2022,,,Aretxabaleta,"Per 10,000",Aretxabaleta,25.5
2020,,,Aretxabaleta,"Per 10,000",Aretxabaleta,14.4
2023,,,Aretxabaleta,"Per 10,000",Aretxabaleta,16.9
2019,,,Armiñón,"Per 10,000",Armiñón,0.0
2021,,,Armiñón,"Per 10,000",Armiñón,0.0
2023,,,Armiñón,"Per 10,000",Armiñón,94.3
2020,,,Armiñón,"Per 10,000",Armiñón,0.0
2022,,,Armiñón,"Per 10,000",Armiñón,0.0
2022,,,Arraia-Maeztu,"Per 10,000",Arraia-Maeztu,0.0
2021,,,Arraia-Maeztu,"Per 10,000",Arraia-Maeztu,62.1
2019,,,Arraia-Maeztu,"Per 10,000",Arraia-Maeztu,31.5
2020,,,Arraia-Maeztu,"Per 10,000",Arraia-Maeztu,31.1
2023,,,Arraia-Maeztu,"Per 10,000",Arraia-Maeztu,27.4
2019,,,Arrankudiaga-Zollo,"Per 10,000",Arrankudiaga-Zollo,19.7
2020,,,Arrankudiaga-Zollo,"Per 10,000",Arrankudiaga-Zollo,0.0
2022,,,Arrankudiaga-Zollo,"Per 10,000",Arrankudiaga-Zollo,38.8
2023,,,Arrankudiaga-Zollo,"Per 10,000",Arrankudiaga-Zollo,39.1
2021,,,Arrankudiaga-Zollo,"Per 10,000",Arrankudiaga-Zollo,39.2
2022,,,Arrasate/Mondragón,"Per 10,000",Arrasate/Mondragón,43.9
2019,,,Arrasate/Mondragón,"Per 10,000",Arrasate/Mondragón,32.1
2021,,,Arrasate/Mondragón,"Per 10,000",Arrasate/Mondragón,26.7
