Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2024,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,439.3
2020,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,430.8
2021,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,447.9
2010,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,483.5
2011,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,497.4
2012,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,504.2
2015,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,515.3
2022,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,433.9
2016,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,515.8
2023,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,436.3
2013,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,490.2
2018,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,515.1
2014,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,528.9
2017,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,495.3
2019,Residuos urbanos recogidos per cápita,,Gipuzkoa,Kg per cápita,460.5
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2024,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2023,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,,%,100.0
2023,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2024,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Araba/Álava,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2023,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2024,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Bizkaia,%,100.0
2021,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2017,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2011,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2010,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2014,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2019,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2013,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2012,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2023,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2020,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2024,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2022,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2016,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2018,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2015,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas,,Gipuzkoa,%,100.0
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,41.3
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,28.3
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,39.3
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,36.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,35.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,32.4
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,33.8
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,32.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,34.5
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,41.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,33.4
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,29.5
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,37.6
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,32.2
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,,%,33.3
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,30.2
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,29.7
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,28.1
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,30.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,21.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,25.5
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,27.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,24.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,26.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,28.8
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,20.8
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,29.2
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,29.6
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,24.4
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Araba/Álava,%,20.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,44.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,33.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,44.7
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,39.1
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,30.2
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,31.9
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,40.3
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,42.7
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,30.1
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,43.1
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,37.2
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,30.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,28.9
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,30.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Bizkaia,%,46.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,35.0
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,35.8
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,37.6
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,36.8
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,37.2
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,32.1
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,30.1
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,23.7
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,35.1
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,32.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,31.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,37.3
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,36.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,39.1
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Reciclaje,Gipuzkoa,%,42.6
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,30.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,21.5
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,20.3
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,32.7
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,22.6
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,29.3
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,19.3
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,25.9
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,21.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,23.9
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,31.5
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,19.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,20.1
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,27.3
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,,%,23.0
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,1.2
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,0.0
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,2.5
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,0.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,0.0
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,4.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,3.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,3.5
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,2.5
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,5.3
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,1.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,2.7
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,0.0
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,1.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Araba/Álava,%,3.1
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,39.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,40.5
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,38.8
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,36.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,40.1
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,45.3
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,38.0
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,36.4
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,39.2
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,37.2
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,87.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,38.2
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,35.6
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,36.6
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Bizkaia,%,37.5
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,5.1
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,25.9
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,1.0
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,18.2
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,34.9
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,7.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,6.8
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,0.0
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,6.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,5.4
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,26.0
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Valorización energética e incineración,Gipuzkoa,%,38.8
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,4.6
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,7.8
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,8.0
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,1.9
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,7.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,1.9
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,6.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,3.8
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,5.1
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,2.4
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,8.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,1.7
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,8.1
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,5.5
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,,%,8.2
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.9
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,0.0
2024,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,9.8
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.0
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,8.8
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.9
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,8.2
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.3
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,3.0
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,4.9
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,2.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,5.9
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,5.5
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Araba/Álava,%,3.8
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,2.2
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,0.5
2023,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,3.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,3.5
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,2.5
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,3.1
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Compostaje,Bizkaia,%,1.0
