Year,Series,Sexo,Territorio histórico,Units,Value
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.2
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.7
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.2
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.2
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,65.5
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.5
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,68.8
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.3
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,68.0
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.0
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.0
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.8
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,65.4
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,65.5
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.5
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.9
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,71.2
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,67.4
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,69.7
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,69.3
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,68.2
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.0
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.6
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.9
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.5
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.5
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,66.9
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,68.9
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,68.6
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.1
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.5
2024,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,70.6
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,69.2
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.4
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.4
