Year,Institución,Territorio histórico,Units,Value
2010,Departamentos en gobiernos forales,Araba/Álava,%,40.0
2014,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2012,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2020,Departamentos en gobiernos forales,Araba/Álava,%,66.7
2011,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2017,Departamentos en gobiernos forales,Bizkaia,%,55.6
2014,Departamentos en gobiernos forales,Bizkaia,%,40.0
2018,Departamentos en gobiernos forales,Bizkaia,%,55.6
2012,Departamentos en gobiernos forales,Bizkaia,%,40.0
2020,Departamentos en gobiernos forales,Bizkaia,%,50.0
2021,Departamentos en gobiernos forales,Bizkaia,%,50.0
2019,Departamentos en gobiernos forales,Bizkaia,%,50.0
2016,Departamentos en gobiernos forales,Bizkaia,%,55.6
2015,Departamentos en gobiernos forales,Bizkaia,%,55.6
2013,Departamentos en gobiernos forales,Bizkaia,%,40.0
2010,Departamentos en gobiernos forales,Bizkaia,%,33.3
2022,Departamentos en gobiernos forales,Bizkaia,%,50.0
2011,Departamentos en gobiernos forales,Bizkaia,%,40.0
2021,Departamentos en gobiernos forales,Gipuzkoa,%,50.0
2019,Departamentos en gobiernos forales,Gipuzkoa,%,50.0
2017,Departamentos en gobiernos forales,Gipuzkoa,%,44.4
2011,Departamentos en gobiernos forales,Gipuzkoa,%,37.5
2010,Departamentos en gobiernos forales,Gipuzkoa,%,36.4
2014,Departamentos en gobiernos forales,Gipuzkoa,%,37.5
2015,Departamentos en gobiernos forales,Gipuzkoa,%,44.4
2018,Departamentos en gobiernos forales,Gipuzkoa,%,44.4
2012,Departamentos en gobiernos forales,Gipuzkoa,%,37.5
2016,Departamentos en gobiernos forales,Gipuzkoa,%,44.4
2013,Departamentos en gobiernos forales,Gipuzkoa,%,37.5
2020,Departamentos en gobiernos forales,Gipuzkoa,%,50.0
2022,Departamentos en gobiernos forales,Gipuzkoa,%,50.0
2010,Electas en Juntas Generales,,%,41.2
2021,Electas en Juntas Generales,,%,54.2
2015,Electas en Juntas Generales,,%,48.1
2020,Electas en Juntas Generales,,%,54.2
2017,Electas en Juntas Generales,,%,48.1
2018,Electas en Juntas Generales,,%,48.1
2012,Electas en Juntas Generales,,%,48.4
2022,Electas en Juntas Generales,,%,54.2
2019,Electas en Juntas Generales,,%,54.2
2016,Electas en Juntas Generales,,%,48.1
2011,Electas en Juntas Generales,,%,48.4
2013,Electas en Juntas Generales,,%,48.4
2014,Electas en Juntas Generales,,%,48.4
2010,Electas en Juntas Generales,Araba/Álava,%,41.2
2014,Electas en Juntas Generales,Araba/Álava,%,51.0
2012,Electas en Juntas Generales,Araba/Álava,%,51.0
2020,Electas en Juntas Generales,Araba/Álava,%,56.9
2022,Electas en Juntas Generales,Araba/Álava,%,56.9
2021,Electas en Juntas Generales,Araba/Álava,%,56.9
2019,Electas en Juntas Generales,Araba/Álava,%,56.9
2018,Electas en Juntas Generales,Araba/Álava,%,45.1
2017,Electas en Juntas Generales,Araba/Álava,%,45.1
2016,Electas en Juntas Generales,Araba/Álava,%,45.1
2015,Electas en Juntas Generales,Araba/Álava,%,45.1
2013,Electas en Juntas Generales,Araba/Álava,%,51.0
2011,Electas en Juntas Generales,Araba/Álava,%,51.0
2022,Electas en Juntas Generales,Bizkaia,%,51.0
2021,Electas en Juntas Generales,Bizkaia,%,51.0
2019,Electas en Juntas Generales,Bizkaia,%,51.0
2018,Electas en Juntas Generales,Bizkaia,%,49.0
