Year,Series,Sex,Province,Units,Value
2014,Life expectancy at birth,Male,Bizkaia,Years,79.84
2012,Life expectancy at birth,Male,Bizkaia,Years,78.93
2019,Life expectancy at birth,Male,Bizkaia,Years,80.49
2015,Life expectancy at birth,Male,Bizkaia,Years,79.84
2013,Life expectancy at birth,Male,Bizkaia,Years,79.65
2010,Life expectancy at birth,Male,Bizkaia,Years,78.34
2012,Life expectancy at birth,Male,Gipuzkoa,Years,79.26
2014,Life expectancy at birth,Male,Gipuzkoa,Years,79.77
2010,Life expectancy at birth,Male,Gipuzkoa,Years,79.42
2017,Life expectancy at birth,Male,Gipuzkoa,Years,80.2
2016,Life expectancy at birth,Male,Gipuzkoa,Years,80.54
2015,Life expectancy at birth,Male,Gipuzkoa,Years,80.12
2013,Life expectancy at birth,Male,Gipuzkoa,Years,79.66
2018,Life expectancy at birth,Male,Gipuzkoa,Years,80.42
2011,Life expectancy at birth,Male,Gipuzkoa,Years,79.5
2024,Life expectancy at birth,Male,Gipuzkoa,Years,81.38
2023,Life expectancy at birth,Male,Gipuzkoa,Years,80.79
2021,Life expectancy at birth,Male,Gipuzkoa,Years,80.59
2022,Life expectancy at birth,Male,Gipuzkoa,Years,80.22
2020,Life expectancy at birth,Male,Gipuzkoa,Years,81.07
2019,Life expectancy at birth,Male,Gipuzkoa,Years,81.29
