Year,Lurralde historikoa,Sexua,Units,Value
2021,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.4
2017,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,0.9
2016,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.0
2024,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.1
2012,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.3
2023,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.1
2011,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.0
2020,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,2.0
2010,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.0
2019,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.6
2014,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.6
2022,Gipuzkoa,,Bizirik jaiotako 1.000 umeko,1.8
2010,,Emakumea,Bizirik jaiotako 1.000 umeko,1.7
2023,,Emakumea,Bizirik jaiotako 1.000 umeko,1.7
2012,,Emakumea,Bizirik jaiotako 1.000 umeko,1.8
2021,,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2014,,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2016,,Emakumea,Bizirik jaiotako 1.000 umeko,1.2
2018,,Emakumea,Bizirik jaiotako 1.000 umeko,2.3
2024,,Emakumea,Bizirik jaiotako 1.000 umeko,0.9
2015,,Emakumea,Bizirik jaiotako 1.000 umeko,1.8
2011,,Emakumea,Bizirik jaiotako 1.000 umeko,2.6
2020,,Emakumea,Bizirik jaiotako 1.000 umeko,2.1
2019,,Emakumea,Bizirik jaiotako 1.000 umeko,2.0
2017,,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2013,,Emakumea,Bizirik jaiotako 1.000 umeko,1.0
2022,,Emakumea,Bizirik jaiotako 1.000 umeko,1.7
2015,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.7
2023,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.9
2014,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,1.9
2013,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.0
2022,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.9
2012,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.6
2011,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.4
2017,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,1.4
2021,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.7
2019,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.4
2020,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.9
2018,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.0
2010,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,0.6
2024,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,2.9
2016,Araba / Álava,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2017,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.0
2020,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.6
2024,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,0.3
2022,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.1
2011,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,3.2
2010,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.3
2018,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,3.1
2014,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2012,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.0
2016,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.6
2013,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.1
2015,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.9
2019,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,2.4
2021,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,0.9
2023,Bizkaia,Emakumea,Bizirik jaiotako 1.000 umeko,1.5
2010,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.4
2024,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.9
2023,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2022,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.4
2021,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.3
2020,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,2.1
2019,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.2
2018,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,2.3
2017,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.4
2016,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.7
2015,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,0.6
2014,Gipuzkoa,Emakumea,Bizirik jaiotako 1.000 umeko,1.0
