Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2010,,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,8.9
2016,,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,16.1
2018,,16 years and over,,,,,Laudio/Llodio,PT,Laudio/Llodio,12.9
2016,,16 years and over,,,,,Laukiz,PT,Laukiz,10.4
2018,,16 years and over,,,,,Laukiz,PT,Laukiz,8.9
2021,,16 years and over,,,,,Laukiz,PT,Laukiz,8.9
2010,,16 years and over,,,,,Laukiz,PT,Laukiz,7.6
2020,,16 years and over,,,,,Laukiz,PT,Laukiz,8.0
2019,,16 years and over,,,,,Laukiz,PT,Laukiz,7.5
2015,,16 years and over,,,,,Laukiz,PT,Laukiz,12.0
2020,,16 years and over,,,,,Lazkao,PT,Lazkao,7.0
2019,,16 years and over,,,,,Lazkao,PT,Lazkao,6.5
2015,,16 years and over,,,,,Lazkao,PT,Lazkao,11.7
2018,,16 years and over,,,,,Lazkao,PT,Lazkao,7.5
2021,,16 years and over,,,,,Lazkao,PT,Lazkao,7.5
2010,,16 years and over,,,,,Lazkao,PT,Lazkao,8.4
2016,,16 years and over,,,,,Lazkao,PT,Lazkao,9.7
2020,,16 years and over,,,,,Leaburu,PT,Leaburu,9.8
2015,,16 years and over,,,,,Leaburu,PT,Leaburu,11.0
2016,,16 years and over,,,,,Leaburu,PT,Leaburu,14.2
2021,,16 years and over,,,,,Leaburu,PT,Leaburu,8.1
2019,,16 years and over,,,,,Leaburu,PT,Leaburu,9.5
2010,,16 years and over,,,,,Leaburu,PT,Leaburu,7.7
2018,,16 years and over,,,,,Leaburu,PT,Leaburu,11.9
2015,,16 years and over,,,,,Legazpi,PT,Legazpi,11.9
2020,,16 years and over,,,,,Legazpi,PT,Legazpi,7.5
2021,,16 years and over,,,,,Legazpi,PT,Legazpi,8.1
2016,,16 years and over,,,,,Legazpi,PT,Legazpi,10.5
2019,,16 years and over,,,,,Legazpi,PT,Legazpi,7.2
2018,,16 years and over,,,,,Legazpi,PT,Legazpi,8.4
2010,,16 years and over,,,,,Legazpi,PT,Legazpi,8.3
2019,,16 years and over,,,,,Legorreta,PT,Legorreta,8.7
2010,,16 years and over,,,,,Legorreta,PT,Legorreta,11.1
2018,,16 years and over,,,,,Legorreta,PT,Legorreta,10.5
2016,,16 years and over,,,,,Legorreta,PT,Legorreta,11.9
2020,,16 years and over,,,,,Legorreta,PT,Legorreta,7.1
2021,,16 years and over,,,,,Legorreta,PT,Legorreta,8.4
2015,,16 years and over,,,,,Legorreta,PT,Legorreta,15.1
2021,,16 years and over,,,,,Legutio,PT,Legutio,12.7
2020,,16 years and over,,,,,Legutio,PT,Legutio,9.3
2016,,16 years and over,,,,,Legutio,PT,Legutio,13.3
2015,,16 years and over,,,,,Legutio,PT,Legutio,13.0
2018,,16 years and over,,,,,Legutio,PT,Legutio,8.2
2019,,16 years and over,,,,,Legutio,PT,Legutio,10.5
2010,,16 years and over,,,,,Legutio,PT,Legutio,7.6
2019,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,3.1
2020,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,2.5
2018,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,6.4
2010,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,7.4
2015,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,12.3
2021,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,5.5
2016,,16 years and over,,,,,Leintz-Gatzaga,PT,Leintz-Gatzaga,9.2
2010,,16 years and over,,,,,Leioa,PT,Leioa,10.0
2018,,16 years and over,,,,,Leioa,PT,Leioa,10.7
2020,,16 years and over,,,,,Leioa,PT,Leioa,9.4
2016,,16 years and over,,,,,Leioa,PT,Leioa,14.3
2019,,16 years and over,,,,,Leioa,PT,Leioa,9.5
2021,,16 years and over,,,,,Leioa,PT,Leioa,10.4
2015,,16 years and over,,,,,Leioa,PT,Leioa,15.1
2016,,16 years and over,,,,,Lekeitio,PT,Lekeitio,14.7
2020,,16 years and over,,,,,Lekeitio,PT,Lekeitio,10.4
2015,,16 years and over,,,,,Lekeitio,PT,Lekeitio,16.1
2010,,16 years and over,,,,,Lekeitio,PT,Lekeitio,10.3
2019,,16 years and over,,,,,Lekeitio,PT,Lekeitio,10.9
2021,,16 years and over,,,,,Lekeitio,PT,Lekeitio,10.3
2018,,16 years and over,,,,,Lekeitio,PT,Lekeitio,11.4
2015,,16 years and over,,,,,Lemoa,PT,Lemoa,16.2
2016,,16 years and over,,,,,Lemoa,PT,Lemoa,14.9
2019,,16 years and over,,,,,Lemoa,PT,Lemoa,11.1
2010,,16 years and over,,,,,Lemoa,PT,Lemoa,9.4
2020,,16 years and over,,,,,Lemoa,PT,Lemoa,10.3
2021,,16 years and over,,,,,Lemoa,PT,Lemoa,10.5
2018,,16 years and over,,,,,Lemoa,PT,Lemoa,11.9
2020,,16 years and over,,,,,Lemoiz,PT,Lemoiz,7.3
2019,,16 years and over,,,,,Lemoiz,PT,Lemoiz,7.5
2010,,16 years and over,,,,,Lemoiz,PT,Lemoiz,7.0
2018,,16 years and over,,,,,Lemoiz,PT,Lemoiz,8.3
2021,,16 years and over,,,,,Lemoiz,PT,Lemoiz,11.3
2016,,16 years and over,,,,,Lemoiz,PT,Lemoiz,13.2
2015,,16 years and over,,,,,Lemoiz,PT,Lemoiz,12.9
2016,,16 years and over,,,,,Leza,PT,Leza,10.4
2018,,16 years and over,,,,,Leza,PT,Leza,6.6
2019,,16 years and over,,,,,Leza,PT,Leza,7.3
2020,,16 years and over,,,,,Leza,PT,Leza,6.3
2021,,16 years and over,,,,,Leza,PT,Leza,8.2
2010,,16 years and over,,,,,Leza,PT,Leza,9.2
2015,,16 years and over,,,,,Leza,PT,Leza,12.5
2020,,16 years and over,,,,,Lezama,PT,Lezama,7.5
2016,,16 years and over,,,,,Lezama,PT,Lezama,10.1
2021,,16 years and over,,,,,Lezama,PT,Lezama,8.7
2015,,16 years and over,,,,,Lezama,PT,Lezama,11.9
2018,,16 years and over,,,,,Lezama,PT,Lezama,7.9
2019,,16 years and over,,,,,Lezama,PT,Lezama,7.8
2010,,16 years and over,,,,,Lezama,PT,Lezama,6.3
2018,,16 years and over,,,,,Lezo,PT,Lezo,8.5
2010,,16 years and over,,,,,Lezo,PT,Lezo,8.2
2016,,16 years and over,,,,,Lezo,PT,Lezo,12.3
2020,,16 years and over,,,,,Lezo,PT,Lezo,8.7
2019,,16 years and over,,,,,Lezo,PT,Lezo,8.6
2021,,16 years and over,,,,,Lezo,PT,Lezo,9.0
2015,,16 years and over,,,,,Lezo,PT,Lezo,13.7
2010,,16 years and over,,,,,Lizartza,PT,Lizartza,9.6
2019,,16 years and over,,,,,Lizartza,PT,Lizartza,11.4
2018,,16 years and over,,,,,Lizartza,PT,Lizartza,12.9
2015,,16 years and over,,,,,Lizartza,PT,Lizartza,16.5
2020,,16 years and over,,,,,Lizartza,PT,Lizartza,7.3
2021,,16 years and over,,,,,Lizartza,PT,Lizartza,8.4
2016,,16 years and over,,,,,Lizartza,PT,Lizartza,10.5
2010,,16 years and over,,,,,Loiu,PT,Loiu,8.8
2020,,16 years and over,,,,,Loiu,PT,Loiu,7.2
2015,,16 years and over,,,,,Loiu,PT,Loiu,12.4
2021,,16 years and over,,,,,Loiu,PT,Loiu,8.0
2018,,16 years and over,,,,,Loiu,PT,Loiu,9.0
2019,,16 years and over,,,,,Loiu,PT,Loiu,7.8
2016,,16 years and over,,,,,Loiu,PT,Loiu,10.4
2019,,16 years and over,,,,,Mallabia,PT,Mallabia,7.4
2010,,16 years and over,,,,,Mallabia,PT,Mallabia,7.6
2020,,16 years and over,,,,,Mallabia,PT,Mallabia,7.0
2018,,16 years and over,,,,,Mallabia,PT,Mallabia,7.8
2015,,16 years and over,,,,,Mallabia,PT,Mallabia,11.7
2021,,16 years and over,,,,,Mallabia,PT,Mallabia,9.7
2016,,16 years and over,,,,,Mallabia,PT,Mallabia,10.2
2021,,16 years and over,,,,,Mañaria,PT,Mañaria,10.7
2019,,16 years and over,,,,,Mañaria,PT,Mañaria,6.1
2015,,16 years and over,,,,,Mañaria,PT,Mañaria,14.7
2018,,16 years and over,,,,,Mañaria,PT,Mañaria,11.9
2010,,16 years and over,,,,,Mañaria,PT,Mañaria,9.7
2020,,16 years and over,,,,,Mañaria,PT,Mañaria,6.8
2016,,16 years and over,,,,,Mañaria,PT,Mañaria,12.1
2021,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,8.8
2020,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,8.2
2019,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,7.8
2010,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,10.8
2018,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,6.9
2015,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,14.9
2016,,16 years and over,,,,,Markina-Xemein,PT,Markina-Xemein,12.6
2015,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,11.7
2021,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,8.4
2016,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,9.1
2010,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,8.0
2019,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,7.4
2020,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,4.9
2018,,16 years and over,,,,,Maruri-Jatabe,PT,Maruri-Jatabe,7.6
2019,,16 years and over,,,,,Mendaro,PT,Mendaro,7.8
2018,,16 years and over,,,,,Mendaro,PT,Mendaro,8.8
2021,,16 years and over,,,,,Mendaro,PT,Mendaro,8.0
2016,,16 years and over,,,,,Mendaro,PT,Mendaro,12.1
2015,,16 years and over,,,,,Mendaro,PT,Mendaro,12.8
2020,,16 years and over,,,,,Mendaro,PT,Mendaro,8.3
2010,,16 years and over,,,,,Mendaro,PT,Mendaro,6.9
2016,,16 years and over,,,,,Mendata,PT,Mendata,8.9
2018,,16 years and over,,,,,Mendata,PT,Mendata,5.2
2021,,16 years and over,,,,,Mendata,PT,Mendata,7.8
2010,,16 years and over,,,,,Mendata,PT,Mendata,6.9
2020,,16 years and over,,,,,Mendata,PT,Mendata,5.9
2019,,16 years and over,,,,,Mendata,PT,Mendata,5.8
2015,,16 years and over,,,,,Mendata,PT,Mendata,5.3
2020,,16 years and over,,,,,Mendexa,PT,Mendexa,7.4
2010,,16 years and over,,,,,Mendexa,PT,Mendexa,8.0
2018,,16 years and over,,,,,Mendexa,PT,Mendexa,6.2
2019,,16 years and over,,,,,Mendexa,PT,Mendexa,9.1
2015,,16 years and over,,,,,Mendexa,PT,Mendexa,11.0
2016,,16 years and over,,,,,Mendexa,PT,Mendexa,12.1
2021,,16 years and over,,,,,Mendexa,PT,Mendexa,8.9
2016,,16 years and over,,,,,Meñaka,PT,Meñaka,8.7
2015,,16 years and over,,,,,Meñaka,PT,Meñaka,11.3
2021,,16 years and over,,,,,Meñaka,PT,Meñaka,6.6
2019,,16 years and over,,,,,Meñaka,PT,Meñaka,5.7
2010,,16 years and over,,,,,Meñaka,PT,Meñaka,5.8
2020,,16 years and over,,,,,Meñaka,PT,Meñaka,5.0
2018,,16 years and over,,,,,Meñaka,PT,Meñaka,6.3
2010,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,18.0
2019,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,11.2
2020,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,9.4
2016,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,20.2
2015,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,24.0
2021,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,11.5
2018,,16 years and over,,,,,Moreda de Álava/Moreda Araba,PT,Moreda de Álava/Moreda Araba,16.5
2020,,16 years and over,,,,,Morga,PT,Morga,8.2
2015,,16 years and over,,,,,Morga,PT,Morga,9.8
2016,,16 years and over,,,,,Morga,PT,Morga,9.2
2021,,16 years and over,,,,,Morga,PT,Morga,9.2
2010,,16 years and over,,,,,Morga,PT,Morga,8.2
2019,,16 years and over,,,,,Morga,PT,Morga,8.2
2018,,16 years and over,,,,,Morga,PT,Morga,14.8
2015,,16 years and over,,,,,Mundaka,PT,Mundaka,16.2
2018,,16 years and over,,,,,Mundaka,PT,Mundaka,10.0
2016,,16 years and over,,,,,Mundaka,PT,Mundaka,13.3
2019,,16 years and over,,,,,Mundaka,PT,Mundaka,8.7
2020,,16 years and over,,,,,Mundaka,PT,Mundaka,8.3
2021,,16 years and over,,,,,Mundaka,PT,Mundaka,9.0
2010,,16 years and over,,,,,Mundaka,PT,Mundaka,9.4
2016,,16 years and over,,,,,Mungia,PT,Mungia,14.1
2020,,16 years and over,,,,,Mungia,PT,Mungia,8.9
2015,,16 years and over,,,,,Mungia,PT,Mungia,14.8
2010,,16 years and over,,,,,Mungia,PT,Mungia,9.3
2018,,16 years and over,,,,,Mungia,PT,Mungia,10.3
2019,,16 years and over,,,,,Mungia,PT,Mungia,9.5
2021,,16 years and over,,,,,Mungia,PT,Mungia,10.1
2019,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,7.5
2010,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,4.9
2016,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,11.2
2020,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,8.6
2021,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,10.7
2015,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,12.4
2018,,16 years and over,,,,,Munitibar-Arbatzegi Gerrikaitz,PT,Munitibar-Arbatzegi Gerrikaitz,8.5
2010,,16 years and over,,,,,Murueta,PT,Murueta,7.1
2015,,16 years and over,,,,,Murueta,PT,Murueta,7.4
2020,,16 years and over,,,,,Murueta,PT,Murueta,6.8
2016,,16 years and over,,,,,Murueta,PT,Murueta,9.0
2019,,16 years and over,,,,,Murueta,PT,Murueta,7.3
2018,,16 years and over,,,,,Murueta,PT,Murueta,8.3
2021,,16 years and over,,,,,Murueta,PT,Murueta,6.9
2021,,16 years and over,,,,,Muskiz,PT,Muskiz,12.3
2015,,16 years and over,,,,,Muskiz,PT,Muskiz,18.7
2019,,16 years and over,,,,,Muskiz,PT,Muskiz,11.9
2020,,16 years and over,,,,,Muskiz,PT,Muskiz,11.7
2018,,16 years and over,,,,,Muskiz,PT,Muskiz,12.1
2016,,16 years and over,,,,,Muskiz,PT,Muskiz,17.7
2010,,16 years and over,,,,,Muskiz,PT,Muskiz,9.8
2010,,16 years and over,,,,,Mutiloa,PT,Mutiloa,5.9
2018,,16 years and over,,,,,Mutiloa,PT,Mutiloa,3.3
2021,,16 years and over,,,,,Mutiloa,PT,Mutiloa,4.3
2016,,16 years and over,,,,,Mutiloa,PT,Mutiloa,6.1
2020,,16 years and over,,,,,Mutiloa,PT,Mutiloa,7.8
2015,,16 years and over,,,,,Mutiloa,PT,Mutiloa,13.6
2019,,16 years and over,,,,,Mutiloa,PT,Mutiloa,3.3
2019,,16 years and over,,,,,Mutriku,PT,Mutriku,11.3
2021,,16 years and over,,,,,Mutriku,PT,Mutriku,12.0
2015,,16 years and over,,,,,Mutriku,PT,Mutriku,14.7
2016,,16 years and over,,,,,Mutriku,PT,Mutriku,14.8
2020,,16 years and over,,,,,Mutriku,PT,Mutriku,10.9
2010,,16 years and over,,,,,Mutriku,PT,Mutriku,9.3
2018,,16 years and over,,,,,Mutriku,PT,Mutriku,11.3
2020,,16 years and over,,,,,Muxika,PT,Muxika,7.6
2016,,16 years and over,,,,,Muxika,PT,Muxika,11.7
2018,,16 years and over,,,,,Muxika,PT,Muxika,10.5
2021,,16 years and over,,,,,Muxika,PT,Muxika,8.2
2010,,16 years and over,,,,,Muxika,PT,Muxika,8.2
2015,,16 years and over,,,,,Muxika,PT,Muxika,12.0
2019,,16 years and over,,,,,Muxika,PT,Muxika,10.3
2016,,16 years and over,,,,,Nabarniz,PT,Nabarniz,8.4
2019,,16 years and over,,,,,Nabarniz,PT,Nabarniz,7.1
2021,,16 years and over,,,,,Nabarniz,PT,Nabarniz,6.9
2010,,16 years and over,,,,,Nabarniz,PT,Nabarniz,4.4
2018,,16 years and over,,,,,Nabarniz,PT,Nabarniz,5.3
2015,,16 years and over,,,,,Nabarniz,PT,Nabarniz,9.0
2020,,16 years and over,,,,,Nabarniz,PT,Nabarniz,7.1
2018,,16 years and over,,,,,Navaridas,PT,Navaridas,7.4
2015,,16 years and over,,,,,Navaridas,PT,Navaridas,16.2
2020,,16 years and over,,,,,Navaridas,PT,Navaridas,3.1
2010,,16 years and over,,,,,Navaridas,PT,Navaridas,2.2
2016,,16 years and over,,,,,Navaridas,PT,Navaridas,9.3
2019,,16 years and over,,,,,Navaridas,PT,Navaridas,7.5
2021,,16 years and over,,,,,Navaridas,PT,Navaridas,12.3
2016,,16 years and over,,,,,Oiartzun,PT,Oiartzun,10.5
2018,,16 years and over,,,,,Oiartzun,PT,Oiartzun,7.6
2019,,16 years and over,,,,,Oiartzun,PT,Oiartzun,6.4
2015,,16 years and over,,,,,Oiartzun,PT,Oiartzun,11.5
2021,,16 years and over,,,,,Oiartzun,PT,Oiartzun,7.5
2010,,16 years and over,,,,,Oiartzun,PT,Oiartzun,7.2
2020,,16 years and over,,,,,Oiartzun,PT,Oiartzun,6.6
2018,,16 years and over,,,,,Okondo,PT,Okondo,11.6
2019,,16 years and over,,,,,Okondo,PT,Okondo,10.2
2020,,16 years and over,,,,,Okondo,PT,Okondo,10.9
2010,,16 years and over,,,,,Okondo,PT,Okondo,9.3
2015,,16 years and over,,,,,Okondo,PT,Okondo,13.9
2021,,16 years and over,,,,,Okondo,PT,Okondo,9.3
2016,,16 years and over,,,,,Okondo,PT,Okondo,16.3
2021,,16 years and over,,,,,Olaberria,PT,Olaberria,8.5
2010,,16 years and over,,,,,Olaberria,PT,Olaberria,7.7
2019,,16 years and over,,,,,Olaberria,PT,Olaberria,8.7
2018,,16 years and over,,,,,Olaberria,PT,Olaberria,10.0
2016,,16 years and over,,,,,Olaberria,PT,Olaberria,12.4
2015,,16 years and over,,,,,Olaberria,PT,Olaberria,13.1
2020,,16 years and over,,,,,Olaberria,PT,Olaberria,8.8
2019,,16 years and over,,,,,Ondarroa,PT,Ondarroa,13.2
2015,,16 years and over,,,,,Ondarroa,PT,Ondarroa,20.7
2016,,16 years and over,,,,,Ondarroa,PT,Ondarroa,16.7
2010,,16 years and over,,,,,Ondarroa,PT,Ondarroa,11.5
2021,,16 years and over,,,,,Ondarroa,PT,Ondarroa,14.7
2018,,16 years and over,,,,,Ondarroa,PT,Ondarroa,13.8
2020,,16 years and over,,,,,Ondarroa,PT,Ondarroa,12.0
2019,,16 years and over,,,,,Oñati,PT,Oñati,5.5
2010,,16 years and over,,,,,Oñati,PT,Oñati,6.3
2018,,16 years and over,,,,,Oñati,PT,Oñati,5.8
2015,,16 years and over,,,,,Oñati,PT,Oñati,8.8
2021,,16 years and over,,,,,Oñati,PT,Oñati,6.7
2020,,16 years and over,,,,,Oñati,PT,Oñati,5.5
2016,,16 years and over,,,,,Oñati,PT,Oñati,8.2
2010,,16 years and over,,,,,Ordizia,PT,Ordizia,8.9
2020,,16 years and over,,,,,Ordizia,PT,Ordizia,8.4
2016,,16 years and over,,,,,Ordizia,PT,Ordizia,13.1
2021,,16 years and over,,,,,Ordizia,PT,Ordizia,9.2
2018,,16 years and over,,,,,Ordizia,PT,Ordizia,9.5
2019,,16 years and over,,,,,Ordizia,PT,Ordizia,8.5
2015,,16 years and over,,,,,Ordizia,PT,Ordizia,14.9
2019,,16 years and over,,,,,Orendain,PT,Orendain,3.8
2018,,16 years and over,,,,,Orendain,PT,Orendain,3.8
2015,,16 years and over,,,,,Orendain,PT,Orendain,8.0
2021,,16 years and over,,,,,Orendain,PT,Orendain,2.5
2010,,16 years and over,,,,,Orendain,PT,Orendain,4.6
2020,,16 years and over,,,,,Orendain,PT,Orendain,2.8
2016,,16 years and over,,,,,Orendain,PT,Orendain,5.7
2015,,16 years and over,,,,,Orexa,PT,Orexa,5.4
2016,,16 years and over,,,,,Orexa,PT,Orexa,1.7
2010,,16 years and over,,,,,Orexa,PT,Orexa,7.9
2021,,16 years and over,,,,,Orexa,PT,Orexa,2.0
2018,,16 years and over,,,,,Orexa,PT,Orexa,1.9
2019,,16 years and over,,,,,Orexa,PT,Orexa,3.7
2020,,16 years and over,,,,,Orexa,PT,Orexa,5.6
2016,,16 years and over,,,,,Orio,PT,Orio,13.7
2019,,16 years and over,,,,,Orio,PT,Orio,9.5
2021,,16 years and over,,,,,Orio,PT,Orio,10.5
2018,,16 years and over,,,,,Orio,PT,Orio,10.9
2010,,16 years and over,,,,,Orio,PT,Orio,8.0
2020,,16 years and over,,,,,Orio,PT,Orio,10.1
2015,,16 years and over,,,,,Orio,PT,Orio,15.9
2016,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,10.6
2018,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,10.2
2021,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,7.5
2020,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,7.0
2019,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,7.0
2010,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,7.7
2015,,16 years and over,,,,,Ormaiztegi,PT,Ormaiztegi,11.2
2021,,16 years and over,,,,,Orozko,PT,Orozko,10.5
2010,,16 years and over,,,,,Orozko,PT,Orozko,6.3
2020,,16 years and over,,,,,Orozko,PT,Orozko,9.5
2018,,16 years and over,,,,,Orozko,PT,Orozko,10.0
2019,,16 years and over,,,,,Orozko,PT,Orozko,8.9
2016,,16 years and over,,,,,Orozko,PT,Orozko,12.4
2015,,16 years and over,,,,,Orozko,PT,Orozko,12.6
2010,,16 years and over,,,,,Ortuella,PT,Ortuella,9.5
2019,,16 years and over,,,,,Ortuella,PT,Ortuella,14.1
2015,,16 years and over,,,,,Ortuella,PT,Ortuella,19.7
2016,,16 years and over,,,,,Ortuella,PT,Ortuella,19.9
2020,,16 years and over,,,,,Ortuella,PT,Ortuella,12.6
2018,,16 years and over,,,,,Ortuella,PT,Ortuella,15.0
2021,,16 years and over,,,,,Ortuella,PT,Ortuella,15.2
2020,,16 years and over,,,,,Otxandio,PT,Otxandio,7.8
2019,,16 years and over,,,,,Otxandio,PT,Otxandio,8.1
2010,,16 years and over,,,,,Otxandio,PT,Otxandio,8.3
2021,,16 years and over,,,,,Otxandio,PT,Otxandio,9.0
2015,,16 years and over,,,,,Otxandio,PT,Otxandio,11.9
2018,,16 years and over,,,,,Otxandio,PT,Otxandio,9.0
2016,,16 years and over,,,,,Otxandio,PT,Otxandio,12.3
2016,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,25.0
2015,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,24.7
2010,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,20.8
2019,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,19.2
2018,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,20.0
2021,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,16.5
2020,,16 years and over,,,,,Oyón-Oion,PT,Oyón-Oion,17.2
2015,,16 years and over,,,,,Pasaia,PT,Pasaia,17.2
2021,,16 years and over,,,,,Pasaia,PT,Pasaia,11.8
2020,,16 years and over,,,,,Pasaia,PT,Pasaia,10.5
2019,,16 years and over,,,,,Pasaia,PT,Pasaia,11.3
2016,,16 years and over,,,,,Pasaia,PT,Pasaia,15.7
2018,,16 years and over,,,,,Pasaia,PT,Pasaia,12.4
2010,,16 years and over,,,,,Pasaia,PT,Pasaia,10.6
2021,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,4.4
2015,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,8.6
2010,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,11.5
2019,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,6.7
2018,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,6.6
2020,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,6.6
2016,,16 years and over,,,,,Peñacerrada-Urizaharra,PT,Peñacerrada-Urizaharra,4.0
2019,,16 years and over,,,,,Plentzia,PT,Plentzia,10.8
2020,,16 years and over,,,,,Plentzia,PT,Plentzia,10.9
2015,,16 years and over,,,,,Plentzia,PT,Plentzia,17.1
2018,,16 years and over,,,,,Plentzia,PT,Plentzia,11.2
2016,,16 years and over,,,,,Plentzia,PT,Plentzia,14.9
2010,,16 years and over,,,,,Plentzia,PT,Plentzia,9.6
2021,,16 years and over,,,,,Plentzia,PT,Plentzia,10.9
2020,,16 years and over,,,,,Portugalete,PT,Portugalete,13.0
2018,,16 years and over,,,,,Portugalete,PT,Portugalete,14.2
2021,,16 years and over,,,,,Portugalete,PT,Portugalete,13.9
2019,,16 years and over,,,,,Portugalete,PT,Portugalete,13.0
2015,,16 years and over,,,,,Portugalete,PT,Portugalete,17.4
2010,,16 years and over,,,,,Portugalete,PT,Portugalete,10.3
2016,,16 years and over,,,,,Portugalete,PT,Portugalete,17.6
2020,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,9.2
2021,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,10.8
2018,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,13.6
2015,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,18.8
2019,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,10.9
2010,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,14.6
2016,,16 years and over,,,,,Ribera Baja/Erriberabeitia,PT,Ribera Baja/Erriberabeitia,15.4
2018,,16 years and over,,,,,Samaniego,PT,Samaniego,1.9
2010,,16 years and over,,,,,Samaniego,PT,Samaniego,2.6
2020,,16 years and over,,,,,Samaniego,PT,Samaniego,2.9
2016,,16 years and over,,,,,Samaniego,PT,Samaniego,5.9
2015,,16 years and over,,,,,Samaniego,PT,Samaniego,8.6
2021,,16 years and over,,,,,Samaniego,PT,Samaniego,8.3
2019,,16 years and over,,,,,Samaniego,PT,Samaniego,5.6
2020,,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,7.2
2021,,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,5.5
2015,,16 years and over,,,,,San Millán/Donemiliaga,PT,San Millán/Donemiliaga,11.3
