Year,Sex,Age,Residence,People with and without disabilities,Province,County,Municipality,Units,GeoCode,Value
2015,,16 years and over,,,,,Armiñón,PT,Armiñón,14.9
2018,,16 years and over,,,,,Armiñón,PT,Armiñón,7.6
2021,,16 years and over,,,,,Armiñón,PT,Armiñón,9.9
2020,,16 years and over,,,,,Armiñón,PT,Armiñón,6.7
2019,,16 years and over,,,,,Armiñón,PT,Armiñón,7.9
2010,,16 years and over,,,,,Armiñón,PT,Armiñón,8.1
2016,,16 years and over,,,,,Armiñón,PT,Armiñón,12.1
2016,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,8.9
2019,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,5.1
2010,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,5.3
2015,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,10.4
2021,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,6.7
2020,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,4.3
2018,,16 years and over,,,,,Arraia-Maeztu,PT,Arraia-Maeztu,7.2
2016,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,12.7
2021,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,8.4
2020,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,9.4
2019,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,9.3
2010,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,7.6
2018,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,9.2
2015,,16 years and over,,,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,14.4
2021,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,10.5
2020,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,9.1
2015,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,15.6
2016,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,14.5
2018,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,10.2
2010,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,8.9
2019,,16 years and over,,,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,10.2
2019,,16 years and over,,,,,Arratzu,PT,Arratzu,6.3
2021,,16 years and over,,,,,Arratzu,PT,Arratzu,6.6
2015,,16 years and over,,,,,Arratzu,PT,Arratzu,7.8
2010,,16 years and over,,,,,Arratzu,PT,Arratzu,5.2
2018,,16 years and over,,,,,Arratzu,PT,Arratzu,8.0
2016,,16 years and over,,,,,Arratzu,PT,Arratzu,12.1
2020,,16 years and over,,,,,Arratzu,PT,Arratzu,5.3
2015,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,9.3
2018,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.9
2021,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.8
2019,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,7.0
2016,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,7.3
2020,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.7
2010,,16 years and over,,,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,5.7
2020,,16 years and over,,,,,Arrieta,PT,Arrieta,8.1
2015,,16 years and over,,,,,Arrieta,PT,Arrieta,10.0
2019,,16 years and over,,,,,Arrieta,PT,Arrieta,6.9
