Year,Series,Territorio histórico,Units,Value
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,Porcentaje,99.92
2020,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,99.98
2022,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,99.97
2019,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,99.95
2017,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,99.01
2015,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,79.64
2014,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,55.1
2021,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,99.99
2016,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,93.46
2018,Proporción de hogares cubiertos con redes móviles 4G,,Porcentaje,99.89
2022,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,99.97
2016,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,90.02
2014,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,76.0
2020,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,99.99
2019,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,99.7
2018,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,99.7
2015,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,79.54
2017,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,97.92
2021,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,Porcentaje,99.98
2015,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,85.25
2014,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,68.5
2020,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,99.99
2022,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,99.98
2021,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,100.0
2019,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,99.97
2018,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,99.97
2017,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,99.52
2016,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,Porcentaje,95.37
2022,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,99.96
2021,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,99.98
2020,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,99.95
2019,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,99.94
2018,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,99.94
2014,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,23.7
2017,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,98.71
2016,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,92.01
2015,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,Porcentaje,70.63
2021,Proporción de hogares cubiertos con redes móviles 5G,,Porcentaje,66.8
2022,Proporción de hogares cubiertos con redes móviles 5G,,Porcentaje,84.6
2023,Proporción de hogares cubiertos con redes móviles 5G,,Porcentaje,95.8
2023,Proporción de hogares cubiertos con redes móviles 5G,Araba/Álava,Porcentaje,92.67
2023,Proporción de hogares cubiertos con redes móviles 5G,Bizkaia,Porcentaje,97.58
2023,Proporción de hogares cubiertos con redes móviles 5G,Gipuzkoa,Porcentaje,94.44
