Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2020,,,Amezketa,Porcentaje,Amezketa,1.4
2021,,,Amezketa,Porcentaje,Amezketa,1.2
2019,,,Amezketa,Porcentaje,Amezketa,1.4
2016,,,Amezketa,Porcentaje,Amezketa,1.7
2015,,,Amezketa,Porcentaje,Amezketa,1.5
2018,,,Amezketa,Porcentaje,Amezketa,1.4
2019,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2018,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.2
2017,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2016,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2020,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2021,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2015,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.4
2014,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,0.3
2019,,,Amoroto,Porcentaje,Amoroto,3.6
2015,,,Amoroto,Porcentaje,Amoroto,5.2
2018,,,Amoroto,Porcentaje,Amoroto,3.6
2017,,,Amoroto,Porcentaje,Amoroto,4.3
2014,,,Amoroto,Porcentaje,Amoroto,4.2
2020,,,Amoroto,Porcentaje,Amoroto,3.6
2021,,,Amoroto,Porcentaje,Amoroto,5.1
2016,,,Amoroto,Porcentaje,Amoroto,5.0
2020,,,Amurrio,Porcentaje,Amurrio,0.9
2019,,,Amurrio,Porcentaje,Amurrio,0.9
2017,,,Amurrio,Porcentaje,Amurrio,1.2
2014,,,Amurrio,Porcentaje,Amurrio,1.4
2018,,,Amurrio,Porcentaje,Amurrio,1.1
2021,,,Amurrio,Porcentaje,Amurrio,1.3
2016,,,Amurrio,Porcentaje,Amurrio,1.1
2015,,,Amurrio,Porcentaje,Amurrio,1.2
2014,,,Andoain,Porcentaje,Andoain,0.2
2020,,,Andoain,Porcentaje,Andoain,0.2
2018,,,Andoain,Porcentaje,Andoain,0.2
2017,,,Andoain,Porcentaje,Andoain,0.2
2019,,,Andoain,Porcentaje,Andoain,0.2
2016,,,Andoain,Porcentaje,Andoain,0.2
2021,,,Andoain,Porcentaje,Andoain,0.2
2015,,,Andoain,Porcentaje,Andoain,0.3
2018,,,Anoeta,Porcentaje,Anoeta,0.4
2014,,,Anoeta,Porcentaje,Anoeta,0.3
2019,,,Anoeta,Porcentaje,Anoeta,0.4
2017,,,Anoeta,Porcentaje,Anoeta,0.5
2016,,,Anoeta,Porcentaje,Anoeta,0.4
2021,,,Anoeta,Porcentaje,Anoeta,0.4
2020,,,Anoeta,Porcentaje,Anoeta,0.4
2015,,,Anoeta,Porcentaje,Anoeta,0.4
2017,,,Antzuola,Porcentaje,Antzuola,1.4
2016,,,Antzuola,Porcentaje,Antzuola,1.1
2018,,,Antzuola,Porcentaje,Antzuola,1.1
2020,,,Antzuola,Porcentaje,Antzuola,1.2
2015,,,Antzuola,Porcentaje,Antzuola,1.2
2019,,,Antzuola,Porcentaje,Antzuola,1.4
2014,,,Antzuola,Porcentaje,Antzuola,1.0
2021,,,Antzuola,Porcentaje,Antzuola,1.5
2016,,,Añana,Porcentaje,Añana,14.2
2019,,,Añana,Porcentaje,Añana,13.2
2017,,,Añana,Porcentaje,Añana,12.9
2014,,,Añana,Porcentaje,Añana,12.3
2021,,,Añana,Porcentaje,Añana,15.4
2020,,,Añana,Porcentaje,Añana,12.2
2015,,,Añana,Porcentaje,Añana,15.2
2018,,,Añana,Porcentaje,Añana,10.7
2016,,,Arakaldo,Porcentaje,Arakaldo,4.2
2018,,,Arakaldo,Porcentaje,Arakaldo,3.4
2014,,,Arakaldo,Porcentaje,Arakaldo,2.2
2021,,,Arakaldo,Porcentaje,Arakaldo,5.9
2015,,,Arakaldo,Porcentaje,Arakaldo,4.1
2020,,,Arakaldo,Porcentaje,Arakaldo,4.7
2019,,,Arakaldo,Porcentaje,Arakaldo,3.6
2017,,,Arakaldo,Porcentaje,Arakaldo,4.0
2019,,,Arama,Porcentaje,Arama,0.3
2017,,,Arama,Porcentaje,Arama,0.4
2015,,,Arama,Porcentaje,Arama,1.3
2020,,,Arama,Porcentaje,Arama,0.4
2021,,,Arama,Porcentaje,Arama,0.3
2014,,,Arama,Porcentaje,Arama,1.4
2018,,,Arama,Porcentaje,Arama,0.3
2016,,,Arama,Porcentaje,Arama,0.4
