Year,Type of renewable technology,Province,County,Municipality,Units,GeoCode,Value
2014,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,0.3
2018,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,162.1
2022,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,184.3
2019,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,175.8
2017,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,3.0
2015,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,0.3
2013,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,0.3
2010,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,0.3
2020,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,184.6
2012,Solar thermal,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,0.3
2021,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.5
2014,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.3
2019,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.3
2015,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.3
2013,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.2
2010,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.0
2016,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.3
2012,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.2
2018,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.3
2023,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.4
2022,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.5
2020,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.4
2017,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.2
2011,Solar thermal,,,Laudio/Llodio,Watts per capita,Laudio/Llodio,10.2
2010,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.7
2013,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.7
2022,Solar thermal,,,Laukiz,Watts per capita,Laukiz,14.6
2019,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.0
2017,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.5
2015,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.1
2023,Solar thermal,,,Laukiz,Watts per capita,Laukiz,14.4
2021,Solar thermal,,,Laukiz,Watts per capita,Laukiz,14.5
2018,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.5
2016,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.6
2014,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.4
2011,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.6
2012,Solar thermal,,,Laukiz,Watts per capita,Laukiz,15.5
2020,Solar thermal,,,Laukiz,Watts per capita,Laukiz,14.4
2016,Solar thermal,,,Lazkao,Watts per capita,Lazkao,3.6
2014,Solar thermal,,,Lazkao,Watts per capita,Lazkao,2.6
2021,Solar thermal,,,Lazkao,Watts per capita,Lazkao,5.1
2020,Solar thermal,,,Lazkao,Watts per capita,Lazkao,5.1
2012,Solar thermal,,,Lazkao,Watts per capita,Lazkao,1.7
2018,Solar thermal,,,Lazkao,Watts per capita,Lazkao,5.3
2022,Solar thermal,,,Lazkao,Watts per capita,Lazkao,6.9
2023,Solar thermal,,,Lazkao,Watts per capita,Lazkao,6.9
2019,Solar thermal,,,Lazkao,Watts per capita,Lazkao,5.2
2017,Solar thermal,,,Lazkao,Watts per capita,Lazkao,3.6
2015,Solar thermal,,,Lazkao,Watts per capita,Lazkao,2.6
2013,Solar thermal,,,Lazkao,Watts per capita,Lazkao,1.7
2011,Solar thermal,,,Lazkao,Watts per capita,Lazkao,1.1
2010,Solar thermal,,,Lazkao,Watts per capita,Lazkao,1.1
2016,Solar thermal,,,Leaburu,Watts per capita,Leaburu,41.8
2011,Solar thermal,,,Leaburu,Watts per capita,Leaburu,7.9
2019,Solar thermal,,,Leaburu,Watts per capita,Leaburu,39.7
2013,Solar thermal,,,Leaburu,Watts per capita,Leaburu,8.1
2021,Solar thermal,,,Leaburu,Watts per capita,Leaburu,40.3
2018,Solar thermal,,,Leaburu,Watts per capita,Leaburu,41.3
2023,Solar thermal,,,Leaburu,Watts per capita,Leaburu,39.5
2022,Solar thermal,,,Leaburu,Watts per capita,Leaburu,39.2
2020,Solar thermal,,,Leaburu,Watts per capita,Leaburu,40.8
2017,Solar thermal,,,Leaburu,Watts per capita,Leaburu,40.9
2015,Solar thermal,,,Leaburu,Watts per capita,Leaburu,42.2
2014,Solar thermal,,,Leaburu,Watts per capita,Leaburu,8.4
2012,Solar thermal,,,Leaburu,Watts per capita,Leaburu,8.4
2010,Solar thermal,,,Leaburu,Watts per capita,Leaburu,7.9
2016,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.4
2023,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.9
2018,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.4
2012,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.0
2021,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.9
2010,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.0
2020,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.9
2014,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.4
2022,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.9
2019,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.9
2017,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.4
2015,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.4
2013,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.0
2011,Solar thermal,,,Legazpi,Watts per capita,Legazpi,0.0
2016,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2020,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2018,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2022,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2014,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.8
2012,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2023,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2021,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2019,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2017,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2015,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.8
2013,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2011,Solar thermal,,,Legorreta,Watts per capita,Legorreta,1.6
2010,Solar thermal,,,Legorreta,Watts per capita,Legorreta,0.0
2020,Solar thermal,,,Legutio,Watts per capita,Legutio,16.4
2021,Solar thermal,,,Legutio,Watts per capita,Legutio,17.8
2012,Solar thermal,,,Legutio,Watts per capita,Legutio,17.9
2022,Solar thermal,,,Legutio,Watts per capita,Legutio,18.2
2017,Solar thermal,,,Legutio,Watts per capita,Legutio,18.3
2014,Solar thermal,,,Legutio,Watts per capita,Legutio,18.2
2019,Solar thermal,,,Legutio,Watts per capita,Legutio,17.7
2016,Solar thermal,,,Legutio,Watts per capita,Legutio,18.2
2018,Solar thermal,,,Legutio,Watts per capita,Legutio,18.1
2023,Solar thermal,,,Legutio,Watts per capita,Legutio,17.8
2010,Solar thermal,,,Legutio,Watts per capita,Legutio,17.2
2015,Solar thermal,,,Legutio,Watts per capita,Legutio,17.9
2013,Solar thermal,,,Legutio,Watts per capita,Legutio,18.4
2011,Solar thermal,,,Legutio,Watts per capita,Legutio,17.9
2023,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,40.0
2014,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,35.6
2021,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,40.9
2012,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,11.1
2017,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,36.3
2016,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,36.9
2010,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,11.2
2022,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,43.1
2020,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,39.8
2018,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,36.0
2015,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,36.5
2013,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,11.8
2011,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,11.2
2019,Solar thermal,,,Leintz-Gatzaga,Watts per capita,Leintz-Gatzaga,38.5
2016,Solar thermal,,,Leioa,Watts per capita,Leioa,119.8
2018,Solar thermal,,,Leioa,Watts per capita,Leioa,119.0
2011,Solar thermal,,,Leioa,Watts per capita,Leioa,16.2
2023,Solar thermal,,,Leioa,Watts per capita,Leioa,114.5
2013,Solar thermal,,,Leioa,Watts per capita,Leioa,16.2
2020,Solar thermal,,,Leioa,Watts per capita,Leioa,116.3
2021,Solar thermal,,,Leioa,Watts per capita,Leioa,116.3
2019,Solar thermal,,,Leioa,Watts per capita,Leioa,118.1
2017,Solar thermal,,,Leioa,Watts per capita,Leioa,120.1
2015,Solar thermal,,,Leioa,Watts per capita,Leioa,16.1
2012,Solar thermal,,,Leioa,Watts per capita,Leioa,16.2
2010,Solar thermal,,,Leioa,Watts per capita,Leioa,16.3
2022,Solar thermal,,,Leioa,Watts per capita,Leioa,115.1
2014,Solar thermal,,,Leioa,Watts per capita,Leioa,16.2
2013,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.6
2015,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.8
2023,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.8
2021,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.8
2010,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.6
2018,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.7
2022,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.8
2019,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.7
2017,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.7
2014,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.7
2011,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.5
2012,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.6
2020,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.7
2016,Solar thermal,,,Lekeitio,Watts per capita,Lekeitio,6.8
2014,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.9
2021,Solar thermal,,,Lemoa,Watts per capita,Lemoa,48.2
2023,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.6
2011,Solar thermal,,,Lemoa,Watts per capita,Lemoa,48.7
2019,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.5
2017,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.4
2022,Solar thermal,,,Lemoa,Watts per capita,Lemoa,48.0
2020,Solar thermal,,,Lemoa,Watts per capita,Lemoa,48.8
2018,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.7
2015,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.7
2013,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.5
2010,Solar thermal,,,Lemoa,Watts per capita,Lemoa,49.5
2016,Solar thermal,,,Lemoa,Watts per capita,Lemoa,47.0
2012,Solar thermal,,,Lemoa,Watts per capita,Lemoa,48.1
2020,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,53.6
2017,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,54.2
2015,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,54.2
2022,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,52.8
2012,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,53.1
2023,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,52.0
2021,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,52.8
2019,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,56.3
2016,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,54.5
2013,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,56.3
2011,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,56.1
2014,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,54.7
2010,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,58.3
2018,Solar thermal,,,Lemoiz,Watts per capita,Lemoiz,57.2
2022,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2013,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2021,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2010,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2015,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2020,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2011,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2019,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2017,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2012,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2014,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2023,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2018,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2016,Solar thermal,,,Leza,Watts per capita,Leza,0.0
2013,Solar thermal,,,Lezama,Watts per capita,Lezama,4.0
2021,Solar thermal,,,Lezama,Watts per capita,Lezama,9.9
2023,Solar thermal,,,Lezama,Watts per capita,Lezama,10.0
2011,Solar thermal,,,Lezama,Watts per capita,Lezama,3.2
2018,Solar thermal,,,Lezama,Watts per capita,Lezama,6.0
2015,Solar thermal,,,Lezama,Watts per capita,Lezama,6.1
2022,Solar thermal,,,Lezama,Watts per capita,Lezama,10.0
2019,Solar thermal,,,Lezama,Watts per capita,Lezama,9.9
2017,Solar thermal,,,Lezama,Watts per capita,Lezama,6.0
2014,Solar thermal,,,Lezama,Watts per capita,Lezama,6.1
2012,Solar thermal,,,Lezama,Watts per capita,Lezama,4.0
2010,Solar thermal,,,Lezama,Watts per capita,Lezama,3.1
2020,Solar thermal,,,Lezama,Watts per capita,Lezama,10.0
2016,Solar thermal,,,Lezama,Watts per capita,Lezama,6.1
2021,Solar thermal,,,Lezo,Watts per capita,Lezo,27.7
2010,Solar thermal,,,Lezo,Watts per capita,Lezo,23.3
2015,Solar thermal,,,Lezo,Watts per capita,Lezo,23.9
2020,Solar thermal,,,Lezo,Watts per capita,Lezo,27.5
2013,Solar thermal,,,Lezo,Watts per capita,Lezo,23.6
2018,Solar thermal,,,Lezo,Watts per capita,Lezo,27.4
2012,Solar thermal,,,Lezo,Watts per capita,Lezo,23.4
2022,Solar thermal,,,Lezo,Watts per capita,Lezo,27.7
2019,Solar thermal,,,Lezo,Watts per capita,Lezo,27.5
2017,Solar thermal,,,Lezo,Watts per capita,Lezo,24.8
2016,Solar thermal,,,Lezo,Watts per capita,Lezo,24.7
2014,Solar thermal,,,Lezo,Watts per capita,Lezo,23.7
2011,Solar thermal,,,Lezo,Watts per capita,Lezo,23.3
2023,Solar thermal,,,Lezo,Watts per capita,Lezo,27.9
2018,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.5
2020,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.5
2022,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.4
2011,Solar thermal,,,Lizartza,Watts per capita,Lizartza,3.7
2014,Solar thermal,,,Lizartza,Watts per capita,Lizartza,3.7
2023,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.1
2021,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.5
2019,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.5
2017,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.5
2015,Solar thermal,,,Lizartza,Watts per capita,Lizartza,3.8
2013,Solar thermal,,,Lizartza,Watts per capita,Lizartza,3.6
2012,Solar thermal,,,Lizartza,Watts per capita,Lizartza,3.6
2010,Solar thermal,,,Lizartza,Watts per capita,Lizartza,3.7
2016,Solar thermal,,,Lizartza,Watts per capita,Lizartza,6.6
2021,Solar thermal,,,Loiu,Watts per capita,Loiu,15.7
2012,Solar thermal,,,Loiu,Watts per capita,Loiu,14.5
2019,Solar thermal,,,Loiu,Watts per capita,Loiu,15.1
2017,Solar thermal,,,Loiu,Watts per capita,Loiu,14.9
2015,Solar thermal,,,Loiu,Watts per capita,Loiu,15.3
2023,Solar thermal,,,Loiu,Watts per capita,Loiu,15.5
2020,Solar thermal,,,Loiu,Watts per capita,Loiu,15.4
2018,Solar thermal,,,Loiu,Watts per capita,Loiu,14.8
2016,Solar thermal,,,Loiu,Watts per capita,Loiu,15.1
2013,Solar thermal,,,Loiu,Watts per capita,Loiu,15.1
2011,Solar thermal,,,Loiu,Watts per capita,Loiu,14.4
2014,Solar thermal,,,Loiu,Watts per capita,Loiu,15.0
2010,Solar thermal,,,Loiu,Watts per capita,Loiu,14.4
2022,Solar thermal,,,Loiu,Watts per capita,Loiu,15.9
2019,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.2
2011,Solar thermal,,,Mallabia,Watts per capita,Mallabia,2.5
2021,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.1
2016,Solar thermal,,,Mallabia,Watts per capita,Mallabia,9.2
2013,Solar thermal,,,Mallabia,Watts per capita,Mallabia,8.9
2023,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.6
2020,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.3
2017,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.4
2015,Solar thermal,,,Mallabia,Watts per capita,Mallabia,9.3
2012,Solar thermal,,,Mallabia,Watts per capita,Mallabia,6.4
2010,Solar thermal,,,Mallabia,Watts per capita,Mallabia,2.5
2018,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.4
2014,Solar thermal,,,Mallabia,Watts per capita,Mallabia,9.0
2022,Solar thermal,,,Mallabia,Watts per capita,Mallabia,19.6
2016,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.1
2021,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.0
2012,Solar thermal,,,Mañaria,Watts per capita,Mañaria,0.0
2023,Solar thermal,,,Mañaria,Watts per capita,Mañaria,15.7
2010,Solar thermal,,,Mañaria,Watts per capita,Mañaria,0.0
2018,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.3
2014,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.3
2022,Solar thermal,,,Mañaria,Watts per capita,Mañaria,15.8
2019,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.1
2017,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.2
2015,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.4
2013,Solar thermal,,,Mañaria,Watts per capita,Mañaria,4.8
2011,Solar thermal,,,Mañaria,Watts per capita,Mañaria,0.0
2020,Solar thermal,,,Mañaria,Watts per capita,Mañaria,16.3
2015,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,30.3
2017,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,34.9
2022,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,38.4
2013,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,28.6
2019,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,35.9
2010,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,26.9
2023,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,38.1
2021,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,38.3
2018,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,36.4
2016,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,34.7
2014,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,30.2
2011,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,27.4
2012,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,28.6
2020,Solar thermal,,,Markina-Xemein,Watts per capita,Markina-Xemein,38.3
2013,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.6
2023,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,22.4
2020,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,24.3
2011,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.1
2018,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.7
2016,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.8
2021,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,23.3
2019,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,21.0
2017,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.9
2015,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.7
2012,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.4
2010,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,21.1
2022,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,22.5
2014,Solar thermal,,,Maruri-Jatabe,Watts per capita,Maruri-Jatabe,20.6
2010,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2015,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2011,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2020,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2017,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2021,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2019,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2016,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2014,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2012,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2022,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2018,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2023,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2013,Solar thermal,,,Mendaro,Watts per capita,Mendaro,0.0
2019,Solar thermal,,,Mendata,Watts per capita,Mendata,20.7
2017,Solar thermal,,,Mendata,Watts per capita,Mendata,20.8
2023,Solar thermal,,,Mendata,Watts per capita,Mendata,26.9
2014,Solar thermal,,,Mendata,Watts per capita,Mendata,20.7
2021,Solar thermal,,,Mendata,Watts per capita,Mendata,26.0
2011,Solar thermal,,,Mendata,Watts per capita,Mendata,21.9
2022,Solar thermal,,,Mendata,Watts per capita,Mendata,26.7
2020,Solar thermal,,,Mendata,Watts per capita,Mendata,26.7
2018,Solar thermal,,,Mendata,Watts per capita,Mendata,20.6
2015,Solar thermal,,,Mendata,Watts per capita,Mendata,20.3
2013,Solar thermal,,,Mendata,Watts per capita,Mendata,21.8
2010,Solar thermal,,,Mendata,Watts per capita,Mendata,21.8
2016,Solar thermal,,,Mendata,Watts per capita,Mendata,20.7
2012,Solar thermal,,,Mendata,Watts per capita,Mendata,22.3
2015,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2012,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2022,Solar thermal,,,Mendexa,Watts per capita,Mendexa,4.0
2020,Solar thermal,,,Mendexa,Watts per capita,Mendexa,4.0
2017,Solar thermal,,,Mendexa,Watts per capita,Mendexa,3.8
2023,Solar thermal,,,Mendexa,Watts per capita,Mendexa,4.0
2021,Solar thermal,,,Mendexa,Watts per capita,Mendexa,4.0
2019,Solar thermal,,,Mendexa,Watts per capita,Mendexa,3.8
2016,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2013,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2011,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2014,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2010,Solar thermal,,,Mendexa,Watts per capita,Mendexa,0.0
2018,Solar thermal,,,Mendexa,Watts per capita,Mendexa,3.7
2010,Solar thermal,,,Meñaka,Watts per capita,Meñaka,25.8
2018,Solar thermal,,,Meñaka,Watts per capita,Meñaka,39.6
2021,Solar thermal,,,Meñaka,Watts per capita,Meñaka,46.7
2015,Solar thermal,,,Meñaka,Watts per capita,Meñaka,39.2
2023,Solar thermal,,,Meñaka,Watts per capita,Meñaka,45.5
2013,Solar thermal,,,Meñaka,Watts per capita,Meñaka,38.7
2022,Solar thermal,,,Meñaka,Watts per capita,Meñaka,45.9
2019,Solar thermal,,,Meñaka,Watts per capita,Meñaka,40.1
2017,Solar thermal,,,Meñaka,Watts per capita,Meñaka,39.9
2014,Solar thermal,,,Meñaka,Watts per capita,Meñaka,39.8
2011,Solar thermal,,,Meñaka,Watts per capita,Meñaka,38.1
2020,Solar thermal,,,Meñaka,Watts per capita,Meñaka,46.8
2012,Solar thermal,,,Meñaka,Watts per capita,Meñaka,38.5
2016,Solar thermal,,,Meñaka,Watts per capita,Meñaka,39.6
2019,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,33.5
2017,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,31.6
2021,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,34.6
2014,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,34.9
2023,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,34.9
2022,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,35.6
2015,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,35.3
2018,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,32.4
2013,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,33.2
2020,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,35.2
2016,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,32.5
2011,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,32.1
2010,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,31.7
2012,Solar thermal,,,Moreda de Álava/Moreda Araba,Watts per capita,Moreda de Álava/Moreda Araba,32.8
2010,Solar thermal,,,Morga,Watts per capita,Morga,73.0
2022,Solar thermal,,,Morga,Watts per capita,Morga,70.8
2012,Solar thermal,,,Morga,Watts per capita,Morga,69.9
2019,Solar thermal,,,Morga,Watts per capita,Morga,77.5
