Year,Computer skills,Age,Sex,Province,Units,Value
2024,,16-24 years,,Araba/Álava,%,95.8
2022,,16-24 years,,Araba/Álava,%,94.6
2020,,16-24 years,,Araba/Álava,%,98.4
2023,,16-24 years,,Araba/Álava,%,99.5
2021,,16-24 years,,Bizkaia,%,94.4
2020,,16-24 years,,Bizkaia,%,94.2
2023,,16-24 years,,Bizkaia,%,93.8
2024,,16-24 years,,Bizkaia,%,92.0
2022,,16-24 years,,Bizkaia,%,95.4
2019,,16-24 years,,Bizkaia,%,97.1
2023,,16-24 years,,Gipuzkoa,%,97.3
2022,,16-24 years,,Gipuzkoa,%,96.1
2021,,16-24 years,,Gipuzkoa,%,98.4
2020,,16-24 years,,Gipuzkoa,%,97.2
2019,,16-24 years,,Gipuzkoa,%,94.0
2024,,16-24 years,,Gipuzkoa,%,95.8
2019,,16-24 years,Female,,%,97.9
2024,,16-24 years,Female,,%,95.5
2022,,16-24 years,Female,,%,97.5
2021,,16-24 years,Female,,%,96.7
2020,,16-24 years,Female,,%,96.5
2023,,16-24 years,Female,,%,98.8
2019,,16-24 years,Female,Araba/Álava,%,98.8
2024,,16-24 years,Female,Araba/Álava,%,98.9
2022,,16-24 years,Female,Araba/Álava,%,96.5
2020,,16-24 years,Female,Araba/Álava,%,96.6
2023,,16-24 years,Female,Araba/Álava,%,98.8
2021,,16-24 years,Female,Araba/Álava,%,96.3
2022,,16-24 years,Female,Bizkaia,%,99.0
2024,,16-24 years,Female,Bizkaia,%,92.8
2021,,16-24 years,Female,Bizkaia,%,95.5
2019,,16-24 years,Female,Bizkaia,%,97.0
2020,,16-24 years,Female,Bizkaia,%,96.6
2023,,16-24 years,Female,Bizkaia,%,97.9
2021,,16-24 years,Female,Gipuzkoa,%,98.7
2019,,16-24 years,Female,Gipuzkoa,%,98.7
2020,,16-24 years,Female,Gipuzkoa,%,96.3
2024,,16-24 years,Female,Gipuzkoa,%,97.8
2023,,16-24 years,Female,Gipuzkoa,%,100.0
2022,,16-24 years,Female,Gipuzkoa,%,95.8
2024,,16-24 years,Male,,%,92.5
2022,,16-24 years,Male,,%,93.5
2019,,16-24 years,Male,,%,93.6
2023,,16-24 years,Male,,%,93.1
2021,,16-24 years,Male,,%,95.7
2020,,16-24 years,Male,,%,95.3
2024,,16-24 years,Male,Araba/Álava,%,92.8
2019,,16-24 years,Male,Araba/Álava,%,91.9
2020,,16-24 years,Male,Araba/Álava,%,100.0
2023,,16-24 years,Male,Araba/Álava,%,100.0
2021,,16-24 years,Male,Araba/Álava,%,97.2
2022,,16-24 years,Male,Araba/Álava,%,92.7
2021,,16-24 years,Male,Bizkaia,%,93.3
2024,,16-24 years,Male,Bizkaia,%,91.3
2023,,16-24 years,Male,Bizkaia,%,89.7
2019,,16-24 years,Male,Bizkaia,%,97.2
2022,,16-24 years,Male,Bizkaia,%,91.8
2020,,16-24 years,Male,Bizkaia,%,92.0
2020,,16-24 years,Male,Gipuzkoa,%,98.1
2024,,16-24 years,Male,Gipuzkoa,%,94.0
2023,,16-24 years,Male,Gipuzkoa,%,94.6
2021,,16-24 years,Male,Gipuzkoa,%,98.3
2019,,16-24 years,Male,Gipuzkoa,%,89.4
2022,,16-24 years,Male,Gipuzkoa,%,96.4
2022,,25-74 years,,,%,65.3
