Year,Computer skills,Age,Sex,Province,Units,Value
2021,"Changing the settings of any software, including the operating system and security programs",,Female,Gipuzkoa,%,25.1
2020,"Changing the settings of any software, including the operating system and security programs",,Male,,%,31.5
2021,"Changing the settings of any software, including the operating system and security programs",,Male,,%,32.2
2023,"Changing the settings of any software, including the operating system and security programs",,Male,,%,37.7
2019,"Changing the settings of any software, including the operating system and security programs",,Male,,%,20.5
2024,"Changing the settings of any software, including the operating system and security programs",,Male,,%,23.2
2022,"Changing the settings of any software, including the operating system and security programs",,Male,,%,26.7
2024,"Changing the settings of any software, including the operating system and security programs",,Male,Araba/Álava,%,23.4
2022,"Changing the settings of any software, including the operating system and security programs",,Male,Araba/Álava,%,28.0
2021,"Changing the settings of any software, including the operating system and security programs",,Male,Araba/Álava,%,29.9
2023,"Changing the settings of any software, including the operating system and security programs",,Male,Araba/Álava,%,37.3
2020,"Changing the settings of any software, including the operating system and security programs",,Male,Araba/Álava,%,29.3
2019,"Changing the settings of any software, including the operating system and security programs",,Male,Araba/Álava,%,23.9
2019,"Changing the settings of any software, including the operating system and security programs",,Male,Bizkaia,%,20.1
2021,"Changing the settings of any software, including the operating system and security programs",,Male,Bizkaia,%,33.7
2024,"Changing the settings of any software, including the operating system and security programs",,Male,Bizkaia,%,23.6
2023,"Changing the settings of any software, including the operating system and security programs",,Male,Bizkaia,%,38.8
2020,"Changing the settings of any software, including the operating system and security programs",,Male,Bizkaia,%,31.1
2022,"Changing the settings of any software, including the operating system and security programs",,Male,Bizkaia,%,26.8
2023,"Changing the settings of any software, including the operating system and security programs",,Male,Gipuzkoa,%,36.2
2024,"Changing the settings of any software, including the operating system and security programs",,Male,Gipuzkoa,%,22.3
2020,"Changing the settings of any software, including the operating system and security programs",,Male,Gipuzkoa,%,33.1
2022,"Changing the settings of any software, including the operating system and security programs",,Male,Gipuzkoa,%,26.1
2019,"Changing the settings of any software, including the operating system and security programs",,Male,Gipuzkoa,%,19.7
2021,"Changing the settings of any software, including the operating system and security programs",,Male,Gipuzkoa,%,31.0
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,,,%,26.8
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,,,%,30.9
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,,,%,45.5
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,,,%,47.1
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,,,%,36.7
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,,,%,46.2
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Araba/Álava,%,40.3
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Araba/Álava,%,50.9
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Araba/Álava,%,39.4
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Araba/Álava,%,24.8
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Araba/Álava,%,40.3
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Araba/Álava,%,37.6
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Bizkaia,%,47.3
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Bizkaia,%,28.9
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Bizkaia,%,46.3
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Bizkaia,%,45.5
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Bizkaia,%,28.0
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Bizkaia,%,36.4
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Gipuzkoa,%,26.0
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Gipuzkoa,%,48.4
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Gipuzkoa,%,46.5
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Gipuzkoa,%,47.3
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Gipuzkoa,%,35.6
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,,Gipuzkoa,%,31.0
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,,%,33.3
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,,%,43.7
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,,%,46.3
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,,%,38.3
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,,%,27.4
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,,%,20.9
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Araba/Álava,%,40.9
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Araba/Álava,%,16.0
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Araba/Álava,%,38.0
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Araba/Álava,%,53.0
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Araba/Álava,%,37.7
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Araba/Álava,%,39.4
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Bizkaia,%,45.2
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Bizkaia,%,39.8
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Bizkaia,%,21.2
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Bizkaia,%,39.1
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Bizkaia,%,29.0
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Bizkaia,%,23.5
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Gipuzkoa,%,38.1
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Gipuzkoa,%,31.2
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Gipuzkoa,%,50.5
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Gipuzkoa,%,37.2
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Gipuzkoa,%,44.9
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Female,Gipuzkoa,%,19.6
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,,%,47.9
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,,%,34.1
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,,%,53.3
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,,%,40.0
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,,%,47.3
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,,%,32.8
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Araba/Álava,%,42.9
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Araba/Álava,%,35.8
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Araba/Álava,%,42.2
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Araba/Álava,%,35.2
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Araba/Álava,%,49.0
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Araba/Álava,%,38.2
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Bizkaia,%,43.8
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Bizkaia,%,47.4
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Bizkaia,%,32.6
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Bizkaia,%,55.2
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Bizkaia,%,51.2
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Bizkaia,%,35.8
2022,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Gipuzkoa,%,33.2
2021,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Gipuzkoa,%,55.5
2024,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Gipuzkoa,%,30.9
2023,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Gipuzkoa,%,46.3
2019,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Gipuzkoa,%,32.2
2020,"Changing the settings of any software, including the operating system and security programs",16-24 years,Male,Gipuzkoa,%,47.9
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,,,%,31.8
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,,,%,21.2
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,,,%,25.4
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,,,%,19.9
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,,,%,26.1
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,,,%,14.8
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Araba/Álava,%,21.6
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Araba/Álava,%,25.2
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Araba/Álava,%,23.8
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Araba/Álava,%,30.6
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Araba/Álava,%,15.2
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Araba/Álava,%,22.4
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Bizkaia,%,20.6
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Bizkaia,%,15.5
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Bizkaia,%,20.7
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Bizkaia,%,25.7
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Bizkaia,%,33.0
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Bizkaia,%,25.5
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Gipuzkoa,%,30.5
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Gipuzkoa,%,13.3
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Gipuzkoa,%,22.0
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Gipuzkoa,%,17.7
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Gipuzkoa,%,25.3
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,,Gipuzkoa,%,27.9
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,,%,18.4
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,,%,10.6
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,,%,23.0
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,,%,21.7
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,,%,17.7
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,,%,27.5
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Araba/Álava,%,21.1
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Araba/Álava,%,7.9
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Araba/Álava,%,23.1
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Araba/Álava,%,22.4
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Araba/Álava,%,24.2
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Araba/Álava,%,17.1
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Bizkaia,%,29.1
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Bizkaia,%,12.5
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Bizkaia,%,20.3
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Bizkaia,%,19.4
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Bizkaia,%,22.5
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Bizkaia,%,17.1
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Gipuzkoa,%,23.6
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Gipuzkoa,%,19.0
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Gipuzkoa,%,14.6
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Gipuzkoa,%,8.6
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Gipuzkoa,%,26.4
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Female,Gipuzkoa,%,24.8
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,,%,36.4
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,,%,24.9
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,,%,29.2
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,,%,19.1
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,,%,29.3
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,,%,21.5
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Araba/Álava,%,28.0
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Araba/Álava,%,21.7
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Araba/Álava,%,26.2
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Araba/Álava,%,37.1
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Araba/Álava,%,26.6
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Araba/Álava,%,22.7
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Bizkaia,%,24.5
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Bizkaia,%,18.7
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Bizkaia,%,30.9
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Bizkaia,%,21.9
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Bizkaia,%,29.0
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Bizkaia,%,37.1
2019,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Gipuzkoa,%,18.1
2023,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Gipuzkoa,%,34.7
2020,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Gipuzkoa,%,31.1
2021,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Gipuzkoa,%,27.1
2024,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Gipuzkoa,%,20.9
2022,"Changing the settings of any software, including the operating system and security programs",25-74 years,Male,Gipuzkoa,%,25.0
2024,Copying or moving files or folders,,,,%,51.0
2023,Copying or moving files or folders,,,,%,56.3
2019,Copying or moving files or folders,,,,%,55.4
2020,Copying or moving files or folders,,,,%,55.4
2021,Copying or moving files or folders,,,,%,61.5
2022,Copying or moving files or folders,,,,%,57.2
2019,Copying or moving files or folders,,,Araba/Álava,%,55.8
2024,Copying or moving files or folders,,,Araba/Álava,%,52.0
2020,Copying or moving files or folders,,,Araba/Álava,%,54.0
2021,Copying or moving files or folders,,,Araba/Álava,%,61.9
2023,Copying or moving files or folders,,,Araba/Álava,%,54.8
2022,Copying or moving files or folders,,,Araba/Álava,%,56.7
2023,Copying or moving files or folders,,,Bizkaia,%,56.0
2019,Copying or moving files or folders,,,Bizkaia,%,55.8
2024,Copying or moving files or folders,,,Bizkaia,%,51.2
2022,Copying or moving files or folders,,,Bizkaia,%,56.7
2020,Copying or moving files or folders,,,Bizkaia,%,54.3
2021,Copying or moving files or folders,,,Bizkaia,%,61.6
2019,Copying or moving files or folders,,,Gipuzkoa,%,54.5
2020,Copying or moving files or folders,,,Gipuzkoa,%,57.7
2024,Copying or moving files or folders,,,Gipuzkoa,%,50.3
2022,Copying or moving files or folders,,,Gipuzkoa,%,58.3
2021,Copying or moving files or folders,,,Gipuzkoa,%,61.0
2023,Copying or moving files or folders,,,Gipuzkoa,%,57.3
2024,Copying or moving files or folders,,Female,,%,49.7
2022,Copying or moving files or folders,,Female,,%,56.5
2020,Copying or moving files or folders,,Female,,%,53.5
2023,Copying or moving files or folders,,Female,,%,55.8
2021,Copying or moving files or folders,,Female,,%,60.2
2019,Copying or moving files or folders,,Female,,%,53.0
2024,Copying or moving files or folders,,Female,Araba/Álava,%,48.7
2019,Copying or moving files or folders,,Female,Araba/Álava,%,51.7
2023,Copying or moving files or folders,,Female,Araba/Álava,%,55.5
2021,Copying or moving files or folders,,Female,Araba/Álava,%,59.5
2020,Copying or moving files or folders,,Female,Araba/Álava,%,53.8
2022,Copying or moving files or folders,,Female,Araba/Álava,%,57.6
2020,Copying or moving files or folders,,Female,Bizkaia,%,51.2
2024,Copying or moving files or folders,,Female,Bizkaia,%,50.1
2022,Copying or moving files or folders,,Female,Bizkaia,%,55.3
2021,Copying or moving files or folders,,Female,Bizkaia,%,59.5
2019,Copying or moving files or folders,,Female,Bizkaia,%,53.1
2023,Copying or moving files or folders,,Female,Bizkaia,%,55.2
2020,Copying or moving files or folders,,Female,Gipuzkoa,%,57.0
2024,Copying or moving files or folders,,Female,Gipuzkoa,%,49.6
2019,Copying or moving files or folders,,Female,Gipuzkoa,%,53.6
2021,Copying or moving files or folders,,Female,Gipuzkoa,%,61.8
2022,Copying or moving files or folders,,Female,Gipuzkoa,%,57.9
2023,Copying or moving files or folders,,Female,Gipuzkoa,%,57.1
2020,Copying or moving files or folders,,Male,,%,57.3
2024,Copying or moving files or folders,,Male,,%,52.4
2019,Copying or moving files or folders,,Male,,%,57.8
2021,Copying or moving files or folders,,Male,,%,62.7
2023,Copying or moving files or folders,,Male,,%,56.7
2022,Copying or moving files or folders,,Male,,%,57.9
2022,Copying or moving files or folders,,Male,Araba/Álava,%,55.9
2021,Copying or moving files or folders,,Male,Araba/Álava,%,64.3
2019,Copying or moving files or folders,,Male,Araba/Álava,%,60.0
2024,Copying or moving files or folders,,Male,Araba/Álava,%,55.3
2023,Copying or moving files or folders,,Male,Araba/Álava,%,54.1
2020,Copying or moving files or folders,,Male,Araba/Álava,%,54.3
2019,Copying or moving files or folders,,Male,Bizkaia,%,58.6
2024,Copying or moving files or folders,,Male,Bizkaia,%,52.3
2021,Copying or moving files or folders,,Male,Bizkaia,%,63.8
2023,Copying or moving files or folders,,Male,Bizkaia,%,57.0
2022,Copying or moving files or folders,,Male,Bizkaia,%,58.1
2020,Copying or moving files or folders,,Male,Bizkaia,%,57.5
2022,Copying or moving files or folders,,Male,Gipuzkoa,%,58.7
2023,Copying or moving files or folders,,Male,Gipuzkoa,%,57.4
2021,Copying or moving files or folders,,Male,Gipuzkoa,%,60.2
2024,Copying or moving files or folders,,Male,Gipuzkoa,%,51.1
2019,Copying or moving files or folders,,Male,Gipuzkoa,%,55.4
2020,Copying or moving files or folders,,Male,Gipuzkoa,%,58.4
2021,Copying or moving files or folders,16-24 years,,,%,86.6
2020,Copying or moving files or folders,16-24 years,,,%,86.6
2024,Copying or moving files or folders,16-24 years,,,%,81.4
2019,Copying or moving files or folders,16-24 years,,,%,89.4
2023,Copying or moving files or folders,16-24 years,,,%,89.1
2022,Copying or moving files or folders,16-24 years,,,%,87.4
2019,Copying or moving files or folders,16-24 years,,Araba/Álava,%,91.1
2020,Copying or moving files or folders,16-24 years,,Araba/Álava,%,80.6
2024,Copying or moving files or folders,16-24 years,,Araba/Álava,%,86.7
2023,Copying or moving files or folders,16-24 years,,Araba/Álava,%,94.8
2021,Copying or moving files or folders,16-24 years,,Araba/Álava,%,85.7
2022,Copying or moving files or folders,16-24 years,,Araba/Álava,%,82.6
2021,Copying or moving files or folders,16-24 years,,Bizkaia,%,87.2
2023,Copying or moving files or folders,16-24 years,,Bizkaia,%,87.1
2022,Copying or moving files or folders,16-24 years,,Bizkaia,%,88.1
2024,Copying or moving files or folders,16-24 years,,Bizkaia,%,81.2
2019,Copying or moving files or folders,16-24 years,,Bizkaia,%,90.0
2020,Copying or moving files or folders,16-24 years,,Bizkaia,%,83.3
2019,Copying or moving files or folders,16-24 years,,Gipuzkoa,%,87.9
2023,Copying or moving files or folders,16-24 years,,Gipuzkoa,%,89.5
2020,Copying or moving files or folders,16-24 years,,Gipuzkoa,%,94.1
2021,Copying or moving files or folders,16-24 years,,Gipuzkoa,%,86.1
2022,Copying or moving files or folders,16-24 years,,Gipuzkoa,%,88.4
2024,Copying or moving files or folders,16-24 years,,Gipuzkoa,%,79.5
2023,Copying or moving files or folders,16-24 years,Female,,%,92.9
2020,Copying or moving files or folders,16-24 years,Female,,%,88.0
2022,Copying or moving files or folders,16-24 years,Female,,%,89.6
2021,Copying or moving files or folders,16-24 years,Female,,%,85.6
2024,Copying or moving files or folders,16-24 years,Female,,%,83.0
2019,Copying or moving files or folders,16-24 years,Female,,%,93.7
2024,Copying or moving files or folders,16-24 years,Female,Araba/Álava,%,91.2
2023,Copying or moving files or folders,16-24 years,Female,Araba/Álava,%,96.8
2022,Copying or moving files or folders,16-24 years,Female,Araba/Álava,%,91.4
2019,Copying or moving files or folders,16-24 years,Female,Araba/Álava,%,91.8
2021,Copying or moving files or folders,16-24 years,Female,Araba/Álava,%,86.5
2020,Copying or moving files or folders,16-24 years,Female,Araba/Álava,%,80.8
2022,Copying or moving files or folders,16-24 years,Female,Bizkaia,%,90.4
2024,Copying or moving files or folders,16-24 years,Female,Bizkaia,%,82.1
2021,Copying or moving files or folders,16-24 years,Female,Bizkaia,%,84.9
2023,Copying or moving files or folders,16-24 years,Female,Bizkaia,%,90.4
2019,Copying or moving files or folders,16-24 years,Female,Bizkaia,%,93.0
2020,Copying or moving files or folders,16-24 years,Female,Bizkaia,%,85.0
2024,Copying or moving files or folders,16-24 years,Female,Gipuzkoa,%,80.9
2019,Copying or moving files or folders,16-24 years,Female,Gipuzkoa,%,95.6
2021,Copying or moving files or folders,16-24 years,Female,Gipuzkoa,%,86.2
2020,Copying or moving files or folders,16-24 years,Female,Gipuzkoa,%,95.6
2023,Copying or moving files or folders,16-24 years,Female,Gipuzkoa,%,95.1
2022,Copying or moving files or folders,16-24 years,Female,Gipuzkoa,%,87.4
2023,Copying or moving files or folders,16-24 years,Male,,%,85.6
2021,Copying or moving files or folders,16-24 years,Male,,%,87.5
2020,Copying or moving files or folders,16-24 years,Male,,%,85.2
2024,Copying or moving files or folders,16-24 years,Male,,%,79.9
2022,Copying or moving files or folders,16-24 years,Male,,%,85.4
2019,Copying or moving files or folders,16-24 years,Male,,%,85.1
2022,Copying or moving files or folders,16-24 years,Male,Araba/Álava,%,74.0
2023,Copying or moving files or folders,16-24 years,Male,Araba/Álava,%,93.3
2021,Copying or moving files or folders,16-24 years,Male,Araba/Álava,%,85.0
2020,Copying or moving files or folders,16-24 years,Male,Araba/Álava,%,80.5
2024,Copying or moving files or folders,16-24 years,Male,Araba/Álava,%,82.4
2019,Copying or moving files or folders,16-24 years,Male,Araba/Álava,%,90.2
2023,Copying or moving files or folders,16-24 years,Male,Bizkaia,%,83.9
2022,Copying or moving files or folders,16-24 years,Male,Bizkaia,%,85.8
2020,Copying or moving files or folders,16-24 years,Male,Bizkaia,%,81.7
2019,Copying or moving files or folders,16-24 years,Male,Bizkaia,%,87.1
2024,Copying or moving files or folders,16-24 years,Male,Bizkaia,%,80.4
2021,Copying or moving files or folders,16-24 years,Male,Bizkaia,%,89.5
2024,Copying or moving files or folders,16-24 years,Male,Gipuzkoa,%,78.3
2022,Copying or moving files or folders,16-24 years,Male,Gipuzkoa,%,89.4
2023,Copying or moving files or folders,16-24 years,Male,Gipuzkoa,%,84.1
2019,Copying or moving files or folders,16-24 years,Male,Gipuzkoa,%,80.5
2021,Copying or moving files or folders,16-24 years,Male,Gipuzkoa,%,86.0
2020,Copying or moving files or folders,16-24 years,Male,Gipuzkoa,%,92.7
2022,Copying or moving files or folders,25-74 years,,,%,53.2
2020,Copying or moving files or folders,25-74 years,,,%,51.5
2021,Copying or moving files or folders,25-74 years,,,%,58.1
2024,Copying or moving files or folders,25-74 years,,,%,46.8
2023,Copying or moving files or folders,25-74 years,,,%,51.9
2019,Copying or moving files or folders,25-74 years,,,%,51.5
2024,Copying or moving files or folders,25-74 years,,Araba/Álava,%,47.3
2023,Copying or moving files or folders,25-74 years,,Araba/Álava,%,49.3
2021,Copying or moving files or folders,25-74 years,,Araba/Álava,%,58.7
2019,Copying or moving files or folders,25-74 years,,Araba/Álava,%,51.8
2022,Copying or moving files or folders,25-74 years,,Araba/Álava,%,53.6
2020,Copying or moving files or folders,25-74 years,,Araba/Álava,%,50.7
2021,Copying or moving files or folders,25-74 years,,Bizkaia,%,58.4
2023,Copying or moving files or folders,25-74 years,,Bizkaia,%,52.1
2019,Copying or moving files or folders,25-74 years,,Bizkaia,%,52.2
2020,Copying or moving files or folders,25-74 years,,Bizkaia,%,50.9
2024,Copying or moving files or folders,25-74 years,,Bizkaia,%,47.2
2022,Copying or moving files or folders,25-74 years,,Bizkaia,%,52.6
2021,Copying or moving files or folders,25-74 years,,Gipuzkoa,%,57.4
2019,Copying or moving files or folders,25-74 years,,Gipuzkoa,%,50.3
2022,Copying or moving files or folders,25-74 years,,Gipuzkoa,%,54.1
2024,Copying or moving files or folders,25-74 years,,Gipuzkoa,%,45.9
2020,Copying or moving files or folders,25-74 years,,Gipuzkoa,%,52.9
2023,Copying or moving files or folders,25-74 years,,Gipuzkoa,%,52.8
2022,Copying or moving files or folders,25-74 years,Female,,%,52.3
2021,Copying or moving files or folders,25-74 years,Female,,%,57.1
2019,Copying or moving files or folders,25-74 years,Female,,%,48.5
2020,Copying or moving files or folders,25-74 years,Female,,%,49.4
2024,Copying or moving files or folders,25-74 years,Female,,%,45.5
2023,Copying or moving files or folders,25-74 years,Female,,%,51.2
2024,Copying or moving files or folders,25-74 years,Female,Araba/Álava,%,43.2
2020,Copying or moving files or folders,25-74 years,Female,Araba/Álava,%,50.7
2021,Copying or moving files or folders,25-74 years,Female,Araba/Álava,%,56.3
2019,Copying or moving files or folders,25-74 years,Female,Araba/Álava,%,46.9
2023,Copying or moving files or folders,25-74 years,Female,Araba/Álava,%,50.6
2022,Copying or moving files or folders,25-74 years,Female,Araba/Álava,%,53.6
2024,Copying or moving files or folders,25-74 years,Female,Bizkaia,%,46.3
2019,Copying or moving files or folders,25-74 years,Female,Bizkaia,%,48.9
2022,Copying or moving files or folders,25-74 years,Female,Bizkaia,%,51.0
2020,Copying or moving files or folders,25-74 years,Female,Bizkaia,%,47.3
2021,Copying or moving files or folders,25-74 years,Female,Bizkaia,%,56.3
2023,Copying or moving files or folders,25-74 years,Female,Bizkaia,%,50.9
2019,Copying or moving files or folders,25-74 years,Female,Gipuzkoa,%,48.5
2023,Copying or moving files or folders,25-74 years,Female,Gipuzkoa,%,51.9
2021,Copying or moving files or folders,25-74 years,Female,Gipuzkoa,%,58.7
2024,Copying or moving files or folders,25-74 years,Female,Gipuzkoa,%,45.2
2022,Copying or moving files or folders,25-74 years,Female,Gipuzkoa,%,53.9
2020,Copying or moving files or folders,25-74 years,Female,Gipuzkoa,%,52.2
2023,Copying or moving files or folders,25-74 years,Male,,%,52.6
2024,Copying or moving files or folders,25-74 years,Male,,%,48.2
2020,Copying or moving files or folders,25-74 years,Male,,%,53.7
2022,Copying or moving files or folders,25-74 years,Male,,%,54.2
2021,Copying or moving files or folders,25-74 years,Male,,%,59.2
2019,Copying or moving files or folders,25-74 years,Male,,%,54.6
2019,Copying or moving files or folders,25-74 years,Male,Araba/Álava,%,56.8
2023,Copying or moving files or folders,25-74 years,Male,Araba/Álava,%,47.9
