Year,Velocidad,Territorio,Units,Value
2019,NET_FTTH,ES213,PER_100_POP,19.2
2018,NET_FTTH,ES213,PER_100_POP,16.1
2022,NET_FTTH,ES213,PER_100_POP,29.6
2023,NET_FTTH,ES213,PER_100_POP,34.6
2021,NET_FTTH,ES213,PER_100_POP,25.5
2020,NET_FTTH,ES213,PER_100_POP,21.4
2017,NET_FTTH,ES213,PER_100_POP,11.3
2014,NET_FTTH,ES213,PER_100_POP,1.7
2021,NET_FTTH,ES212,PER_100_POP,26.6
2022,NET_FTTH,ES212,PER_100_POP,29.8
2020,NET_FTTH,ES212,PER_100_POP,22.3
2019,NET_FTTH,ES212,PER_100_POP,20.0
2018,NET_FTTH,ES212,PER_100_POP,16.7
2017,NET_FTTH,ES212,PER_100_POP,13.4
2016,NET_FTTH,ES212,PER_100_POP,9.3
2015,NET_FTTH,ES212,PER_100_POP,4.0
2013,NET_FTTH,ES212,PER_100_POP,0.7
2012,NET_FTTH,ES212,PER_100_POP,0.2
2011,NET_FTTH,ES212,PER_100_POP,0.1
2010,NET_FTTH,ES212,PER_100_POP,0.0
2023,NET_FTTH,ES212,PER_100_POP,34.8
2014,NET_FTTH,ES212,PER_100_POP,2.2
2012,NET_HFC,,PER_100_POP,11.2
2016,NET_HFC,,PER_100_POP,12.5
2021,NET_HFC,,PER_100_POP,10.1
2020,NET_HFC,,PER_100_POP,11.9
2014,NET_HFC,,PER_100_POP,11.9
2011,NET_HFC,,PER_100_POP,11.1
2019,NET_HFC,,PER_100_POP,12.5
2013,NET_HFC,,PER_100_POP,11.7
2023,NET_HFC,,PER_100_POP,4.9
2022,NET_HFC,,PER_100_POP,7.5
2018,NET_HFC,,PER_100_POP,12.5
2010,NET_HFC,,PER_100_POP,10.2
2015,NET_HFC,,PER_100_POP,12.2
2017,NET_HFC,,PER_100_POP,12.6
2012,NET_HFC,ES211,PER_100_POP,8.2
2023,NET_HFC,ES211,PER_100_POP,2.7
2021,NET_HFC,ES211,PER_100_POP,7.3
2019,NET_HFC,ES211,PER_100_POP,8.5
2017,NET_HFC,ES211,PER_100_POP,8.7
2016,NET_HFC,ES211,PER_100_POP,9.2
2018,NET_HFC,ES211,PER_100_POP,8.6
2020,NET_HFC,ES211,PER_100_POP,7.2
2015,NET_HFC,ES211,PER_100_POP,9.1
2013,NET_HFC,ES211,PER_100_POP,8.9
2011,NET_HFC,ES211,PER_100_POP,8.0
2014,NET_HFC,ES211,PER_100_POP,9.2
2010,NET_HFC,ES211,PER_100_POP,6.7
2022,NET_HFC,ES211,PER_100_POP,4.8
2023,NET_HFC,ES213,PER_100_POP,5.4
2022,NET_HFC,ES213,PER_100_POP,7.9
2021,NET_HFC,ES213,PER_100_POP,11.0
2019,NET_HFC,ES213,PER_100_POP,13.8
2018,NET_HFC,ES213,PER_100_POP,13.9
2017,NET_HFC,ES213,PER_100_POP,14.0
2016,NET_HFC,ES213,PER_100_POP,13.7
2015,NET_HFC,ES213,PER_100_POP,13.3
2014,NET_HFC,ES213,PER_100_POP,12.9
2013,NET_HFC,ES213,PER_100_POP,12.7
2012,NET_HFC,ES213,PER_100_POP,12.1
2011,NET_HFC,ES213,PER_100_POP,12.1
2010,NET_HFC,ES213,PER_100_POP,11.3
2020,NET_HFC,ES213,PER_100_POP,13.4
2010,NET_HFC,ES212,PER_100_POP,10.0
2023,NET_HFC,ES212,PER_100_POP,5.2
2022,NET_HFC,ES212,PER_100_POP,8.1
2021,NET_HFC,ES212,PER_100_POP,10.0
2019,NET_HFC,ES212,PER_100_POP,12.1
2018,NET_HFC,ES212,PER_100_POP,12.1
2017,NET_HFC,ES212,PER_100_POP,12.2
2015,NET_HFC,ES212,PER_100_POP,11.9
2014,NET_HFC,ES212,PER_100_POP,11.6
2013,NET_HFC,ES212,PER_100_POP,11.3
2011,NET_HFC,ES212,PER_100_POP,10.7
2012,NET_HFC,ES212,PER_100_POP,10.9
2016,NET_HFC,ES212,PER_100_POP,12.1
2020,NET_HFC,ES212,PER_100_POP,11.7
2014,NET_OTHER,,PER_100_POP,0.2
2011,NET_OTHER,,PER_100_POP,0.2
2017,NET_OTHER,,PER_100_POP,0.3
2018,NET_OTHER,,PER_100_POP,0.3
2015,NET_OTHER,,PER_100_POP,0.2
2022,NET_OTHER,,PER_100_POP,0.3
2023,NET_OTHER,,PER_100_POP,0.8
2016,NET_OTHER,,PER_100_POP,0.3
2020,NET_OTHER,,PER_100_POP,0.3
2021,NET_OTHER,,PER_100_POP,0.3
2019,NET_OTHER,,PER_100_POP,0.3
2013,NET_OTHER,,PER_100_POP,0.2
2010,NET_OTHER,,PER_100_POP,0.2
2012,NET_OTHER,,PER_100_POP,0.2
2014,NET_OTHER,ES211,PER_100_POP,0.4
2010,NET_OTHER,ES211,PER_100_POP,0.5
2011,NET_OTHER,ES211,PER_100_POP,0.4
2015,NET_OTHER,ES211,PER_100_POP,0.4
2021,NET_OTHER,ES211,PER_100_POP,0.3
2023,NET_OTHER,ES211,PER_100_POP,0.8
2019,NET_OTHER,ES211,PER_100_POP,0.4
2017,NET_OTHER,ES211,PER_100_POP,0.4
2022,NET_OTHER,ES211,PER_100_POP,0.3
2020,NET_OTHER,ES211,PER_100_POP,0.3
2012,NET_OTHER,ES211,PER_100_POP,0.4
2013,NET_OTHER,ES211,PER_100_POP,0.4
2018,NET_OTHER,ES211,PER_100_POP,0.5
2016,NET_OTHER,ES211,PER_100_POP,0.4
2011,NET_OTHER,ES213,PER_100_POP,0.2
2015,NET_OTHER,ES213,PER_100_POP,0.2
2019,NET_OTHER,ES213,PER_100_POP,0.3
2023,NET_OTHER,ES213,PER_100_POP,0.7
2022,NET_OTHER,ES213,PER_100_POP,0.3
2021,NET_OTHER,ES213,PER_100_POP,0.3
2020,NET_OTHER,ES213,PER_100_POP,0.4
2018,NET_OTHER,ES213,PER_100_POP,0.3
2017,NET_OTHER,ES213,PER_100_POP,0.3
2016,NET_OTHER,ES213,PER_100_POP,0.2
2014,NET_OTHER,ES213,PER_100_POP,0.2
2013,NET_OTHER,ES213,PER_100_POP,0.1
2012,NET_OTHER,ES213,PER_100_POP,0.1
2010,NET_OTHER,ES213,PER_100_POP,0.2
2020,NET_OTHER,ES212,PER_100_POP,0.3
2019,NET_OTHER,ES212,PER_100_POP,0.3
2018,NET_OTHER,ES212,PER_100_POP,0.3
2017,NET_OTHER,ES212,PER_100_POP,0.3
2016,NET_OTHER,ES212,PER_100_POP,0.2
2015,NET_OTHER,ES212,PER_100_POP,0.2
2014,NET_OTHER,ES212,PER_100_POP,0.2
2012,NET_OTHER,ES212,PER_100_POP,0.2
2011,NET_OTHER,ES212,PER_100_POP,0.2
2010,NET_OTHER,ES212,PER_100_POP,0.3
2013,NET_OTHER,ES212,PER_100_POP,0.2
2021,NET_OTHER,ES212,PER_100_POP,0.3
2023,NET_OTHER,ES212,PER_100_POP,0.9
2022,NET_OTHER,ES212,PER_100_POP,0.4
