Year,Sexo,Territorio,Units,Value
2022,F,ES213,PER_1000_LIVE_BIRTHS,2.4
2016,F,ES213,PER_1000_LIVE_BIRTHS,2.9
2023,F,ES212,PER_1000_LIVE_BIRTHS,2.2
2022,F,ES212,PER_1000_LIVE_BIRTHS,2.8
2021,F,ES212,PER_1000_LIVE_BIRTHS,2.5
2020,F,ES212,PER_1000_LIVE_BIRTHS,2.9
2019,F,ES212,PER_1000_LIVE_BIRTHS,2.8
2018,F,ES212,PER_1000_LIVE_BIRTHS,3.4
2017,F,ES212,PER_1000_LIVE_BIRTHS,1.5
2016,F,ES212,PER_1000_LIVE_BIRTHS,2.7
2010,F,ES212,PER_1000_LIVE_BIRTHS,3.7
2015,F,ES212,PER_1000_LIVE_BIRTHS,1.6
2014,F,ES212,PER_1000_LIVE_BIRTHS,2.9
2013,F,ES212,PER_1000_LIVE_BIRTHS,2.6
2012,F,ES212,PER_1000_LIVE_BIRTHS,3.7
2011,F,ES212,PER_1000_LIVE_BIRTHS,2.9
2024,F,ES212,PER_1000_LIVE_BIRTHS,2.3
2012,M,,PER_1000_LIVE_BIRTHS,2.8
2015,M,,PER_1000_LIVE_BIRTHS,3.5
2022,M,,PER_1000_LIVE_BIRTHS,4.7
2020,M,,PER_1000_LIVE_BIRTHS,3.3
2013,M,,PER_1000_LIVE_BIRTHS,2.9
2021,M,,PER_1000_LIVE_BIRTHS,3.1
2016,M,,PER_1000_LIVE_BIRTHS,3.5
2018,M,,PER_1000_LIVE_BIRTHS,3.5
2019,M,,PER_1000_LIVE_BIRTHS,3.8
2011,M,,PER_1000_LIVE_BIRTHS,2.5
2014,M,,PER_1000_LIVE_BIRTHS,2.9
2023,M,,PER_1000_LIVE_BIRTHS,3.2
2024,M,,PER_1000_LIVE_BIRTHS,2.6
2017,M,,PER_1000_LIVE_BIRTHS,3.3
2010,M,,PER_1000_LIVE_BIRTHS,3.2
2024,M,ES211,PER_1000_LIVE_BIRTHS,3.8
2016,M,ES211,PER_1000_LIVE_BIRTHS,4.5
2019,M,ES211,PER_1000_LIVE_BIRTHS,2.3
2023,M,ES211,PER_1000_LIVE_BIRTHS,6.8
2022,M,ES211,PER_1000_LIVE_BIRTHS,6.8
2012,M,ES211,PER_1000_LIVE_BIRTHS,2.3
2015,M,ES211,PER_1000_LIVE_BIRTHS,3.7
2021,M,ES211,PER_1000_LIVE_BIRTHS,4.0
2020,M,ES211,PER_1000_LIVE_BIRTHS,4.9
2010,M,ES211,PER_1000_LIVE_BIRTHS,3.4
2017,M,ES211,PER_1000_LIVE_BIRTHS,3.3
2014,M,ES211,PER_1000_LIVE_BIRTHS,3.6
2018,M,ES211,PER_1000_LIVE_BIRTHS,5.8
2013,M,ES211,PER_1000_LIVE_BIRTHS,4.3
2011,M,ES211,PER_1000_LIVE_BIRTHS,2.3
2024,M,ES213,PER_1000_LIVE_BIRTHS,1.9
2023,M,ES213,PER_1000_LIVE_BIRTHS,3.2
2022,M,ES213,PER_1000_LIVE_BIRTHS,4.3
2021,M,ES213,PER_1000_LIVE_BIRTHS,2.8
2014,M,ES213,PER_1000_LIVE_BIRTHS,2.2
2020,M,ES213,PER_1000_LIVE_BIRTHS,2.9
2016,M,ES213,PER_1000_LIVE_BIRTHS,3.8
2019,M,ES213,PER_1000_LIVE_BIRTHS,3.8
2018,M,ES213,PER_1000_LIVE_BIRTHS,3.2
2017,M,ES213,PER_1000_LIVE_BIRTHS,3.2
2015,M,ES213,PER_1000_LIVE_BIRTHS,3.5
2013,M,ES213,PER_1000_LIVE_BIRTHS,2.2
2012,M,ES213,PER_1000_LIVE_BIRTHS,3.2
2011,M,ES213,PER_1000_LIVE_BIRTHS,2.8
2010,M,ES213,PER_1000_LIVE_BIRTHS,4.1
2018,M,ES212,PER_1000_LIVE_BIRTHS,2.8
2017,M,ES212,PER_1000_LIVE_BIRTHS,3.4
2016,M,ES212,PER_1000_LIVE_BIRTHS,2.6
2015,M,ES212,PER_1000_LIVE_BIRTHS,3.4
2011,M,ES212,PER_1000_LIVE_BIRTHS,2.2
2014,M,ES212,PER_1000_LIVE_BIRTHS,3.7
2013,M,ES212,PER_1000_LIVE_BIRTHS,3.4
2012,M,ES212,PER_1000_LIVE_BIRTHS,2.5
2010,M,ES212,PER_1000_LIVE_BIRTHS,1.9
2024,M,ES212,PER_1000_LIVE_BIRTHS,3.1
2023,M,ES212,PER_1000_LIVE_BIRTHS,1.3
2022,M,ES212,PER_1000_LIVE_BIRTHS,4.2
2021,M,ES212,PER_1000_LIVE_BIRTHS,3.1
2020,M,ES212,PER_1000_LIVE_BIRTHS,3.1
2019,M,ES212,PER_1000_LIVE_BIRTHS,4.6
