Year,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,,,,ES20006,PER_100000_POP,ES20006,0.0
2022,,,,ES20006,PER_100000_POP,ES20006,0.0
2020,,,,ES48912,PER_100000_POP,ES48912,0.0
2015,,,,ES48912,PER_100000_POP,ES48912,0.0
2023,,,,ES48912,PER_100000_POP,ES48912,0.0
2017,,,,ES48912,PER_100000_POP,ES48912,0.0
2014,,,,ES48912,PER_100000_POP,ES48912,0.0
2011,,,,ES48912,PER_100000_POP,ES48912,0.0
2019,,,,ES48912,PER_100000_POP,ES48912,0.0
2010,,,,ES48912,PER_100000_POP,ES48912,0.0
2022,,,,ES48912,PER_100000_POP,ES48912,0.0
2016,,,,ES48912,PER_100000_POP,ES48912,0.0
2013,,,,ES48912,PER_100000_POP,ES48912,0.0
2021,,,,ES48912,PER_100000_POP,ES48912,0.0
2012,,,,ES48912,PER_100000_POP,ES48912,0.0
2018,,,,ES48912,PER_100000_POP,ES48912,0.0
2016,,,,ES20906,PER_100000_POP,ES20906,0.0
2019,,,,ES20906,PER_100000_POP,ES20906,0.0
2021,,,,ES20906,PER_100000_POP,ES20906,0.0
2011,,,,ES20906,PER_100000_POP,ES20906,0.0
2022,,,,ES20906,PER_100000_POP,ES20906,0.0
2017,,,,ES20906,PER_100000_POP,ES20906,0.0
2014,,,,ES20906,PER_100000_POP,ES20906,0.0
2015,,,,ES20906,PER_100000_POP,ES20906,0.0
2018,,,,ES20906,PER_100000_POP,ES20906,0.0
2023,,,,ES20906,PER_100000_POP,ES20906,0.0
2012,,,,ES20906,PER_100000_POP,ES20906,0.0
2020,,,,ES20906,PER_100000_POP,ES20906,0.0
2010,,,,ES20906,PER_100000_POP,ES20906,0.0
2013,,,,ES20906,PER_100000_POP,ES20906,0.0
2016,,,,ES20007,PER_100000_POP,ES20007,0.0
2015,,,,ES20007,PER_100000_POP,ES20007,0.0
2013,,,,ES20007,PER_100000_POP,ES20007,0.0
2021,,,,ES20007,PER_100000_POP,ES20007,0.0
2022,,,,ES20007,PER_100000_POP,ES20007,0.0
2017,,,,ES20007,PER_100000_POP,ES20007,0.0
2019,,,,ES20007,PER_100000_POP,ES20007,0.0
2018,,,,ES20007,PER_100000_POP,ES20007,0.0
2011,,,,ES20007,PER_100000_POP,ES20007,0.0
2010,,,,ES20007,PER_100000_POP,ES20007,0.0
2023,,,,ES20007,PER_100000_POP,ES20007,0.0
2014,,,,ES20007,PER_100000_POP,ES20007,0.0
2020,,,,ES20007,PER_100000_POP,ES20007,0.0
2012,,,,ES20007,PER_100000_POP,ES20007,0.0
2014,,,,ES20008,PER_100000_POP,ES20008,0.0
2018,,,,ES20008,PER_100000_POP,ES20008,0.0
2023,,,,ES20008,PER_100000_POP,ES20008,0.0
2015,,,,ES20008,PER_100000_POP,ES20008,0.0
2013,,,,ES20008,PER_100000_POP,ES20008,0.0
