Year,Series,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,EU_EMP_LFS,,,,,ES48009,PT,ES48009,73.6
2018,EU_EMP_LFS,,,,,ES48009,PT,ES48009,74.7
2015,EU_EMP_LFS,,,,,ES48009,PT,ES48009,68.8
2016,EU_EMP_LFS,,,,,ES48009,PT,ES48009,72.1
2010,EU_EMP_LFS,,,,,ES48009,PT,ES48009,70.1
2022,EU_EMP_LFS,,,,,ES48009,PT,ES48009,77.2
2019,EU_EMP_LFS,,,,,ES20055,PT,ES20055,69.3
2015,EU_EMP_LFS,,,,,ES20055,PT,ES20055,64.8
2023,EU_EMP_LFS,,,,,ES20055,PT,ES20055,73.6
2018,EU_EMP_LFS,,,,,ES20055,PT,ES20055,69.3
2020,EU_EMP_LFS,,,,,ES20055,PT,ES20055,70.2
2022,EU_EMP_LFS,,,,,ES20055,PT,ES20055,71.8
2016,EU_EMP_LFS,,,,,ES20055,PT,ES20055,65.3
2010,EU_EMP_LFS,,,,,ES20055,PT,ES20055,66.3
2021,EU_EMP_LFS,,,,,ES20055,PT,ES20055,69.6
2022,EU_EMP_LFS,,,,,ES48914,PT,ES48914,75.5
2018,EU_EMP_LFS,,,,,ES48914,PT,ES48914,75.3
2015,EU_EMP_LFS,,,,,ES48914,PT,ES48914,75.1
2016,EU_EMP_LFS,,,,,ES48914,PT,ES48914,74.5
2010,EU_EMP_LFS,,,,,ES48914,PT,ES48914,74.1
2019,EU_EMP_LFS,,,,,ES48914,PT,ES48914,72.2
2020,EU_EMP_LFS,,,,,ES48914,PT,ES48914,76.3
2021,EU_EMP_LFS,,,,,ES48914,PT,ES48914,72.4
2023,EU_EMP_LFS,,,,,ES48914,PT,ES48914,83.3
2023,EU_EMP_LFS,,,,,ES01008,PT,ES01008,77.5
2010,EU_EMP_LFS,,,,,ES01008,PT,ES01008,74.0
2021,EU_EMP_LFS,,,,,ES01008,PT,ES01008,73.8
