Year,Series,Tratamiento,Territorio,Units,Value
2015,EN_MWT_TREATV,WT_RECYC,,PT,36.4
2022,EN_MWT_TREATV,WT_RECYC,,PT,47.4
2018,EN_MWT_TREATV,WT_RECYC,,PT,41.5
2012,EN_MWT_TREATV,WT_RECYC,,PT,28.5
2019,EN_MWT_TREATV,WT_RECYC,,PT,44.7
2021,EN_MWT_TREATV,WT_RECYC,,PT,45.4
2011,EN_MWT_TREATV,WT_RECYC,,PT,25.6
2017,EN_MWT_TREATV,WT_RECYC,,PT,39.3
2013,EN_MWT_TREATV,WT_RECYC,ES211,PT,24.2
2019,EN_MWT_TREATV,WT_RECYC,ES211,PT,38.4
2018,EN_MWT_TREATV,WT_RECYC,ES211,PT,31.5
2021,EN_MWT_TREATV,WT_RECYC,ES211,PT,38.9
2020,EN_MWT_TREATV,WT_RECYC,ES211,PT,39.2
2015,EN_MWT_TREATV,WT_RECYC,ES211,PT,30.6
2014,EN_MWT_TREATV,WT_RECYC,ES211,PT,27.0
2016,EN_MWT_TREATV,WT_RECYC,ES211,PT,33.7
2017,EN_MWT_TREATV,WT_RECYC,ES211,PT,31.3
2022,EN_MWT_TREATV,WT_RECYC,ES211,PT,44.9
2013,EN_MWT_TREATV,WT_RECYC,ES213,PT,26.6
2019,EN_MWT_TREATV,WT_RECYC,ES213,PT,37.9
2021,EN_MWT_TREATV,WT_RECYC,ES213,PT,37.1
2015,EN_MWT_TREATV,WT_RECYC,ES213,PT,28.7
2016,EN_MWT_TREATV,WT_RECYC,ES213,PT,31.2
2022,EN_MWT_TREATV,WT_RECYC,ES213,PT,39.2
2020,EN_MWT_TREATV,WT_RECYC,ES213,PT,38.1
2017,EN_MWT_TREATV,WT_RECYC,ES213,PT,34.8
2018,EN_MWT_TREATV,WT_RECYC,ES213,PT,35.8
2014,EN_MWT_TREATV,WT_RECYC,ES213,PT,28.2
2020,EN_MWT_TREATV,WT_RECYC,ES212,PT,69.3
2018,EN_MWT_TREATV,WT_RECYC,ES212,PT,52.9
2015,EN_MWT_TREATV,WT_RECYC,ES212,PT,48.3
2017,EN_MWT_TREATV,WT_RECYC,ES212,PT,48.7
2019,EN_MWT_TREATV,WT_RECYC,ES212,PT,59.3
2021,EN_MWT_TREATV,WT_RECYC,ES212,PT,63.4
2022,EN_MWT_TREATV,WT_RECYC,ES212,PT,63.5
2013,EN_MWT_TREATV,WT_RECYC,ES212,PT,31.9
2014,EN_MWT_TREATV,WT_RECYC,ES212,PT,41.9
2016,EN_MWT_TREATV,WT_RECYC,ES212,PT,48.4
2021,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,32.5
2012,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,20.9
2011,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,23.3
2022,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,33.9
2013,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,26.6
2017,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,24.3
2014,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,25.6
2018,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,22.8
2015,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,27.9
2020,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,30.8
2019,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,23.5
2010,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,21.4
2016,EN_MWT_TREATV,WT_INCINRT_EGY,,PT,24.7
2013,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,3.7
2019,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,2.9
2015,EN_MWT_TREATV,WT_INCINRT_EGY,ES211,PT,4.3
