Year,Sexo,Edad,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2016,,Y_GE16,,,,,ES20078,PT,ES20078,10.1
2010,,Y_GE16,,,,,ES20078,PT,ES20078,6.8
2010,,Y_GE16,,,,,ES01061,PT,ES01061,5.6
2016,,Y_GE16,,,,,ES01061,PT,ES01061,10.6
2015,,Y_GE16,,,,,ES01061,PT,ES01061,11.4
2021,,Y_GE16,,,,,ES01061,PT,ES01061,8.3
2019,,Y_GE16,,,,,ES01061,PT,ES01061,3.9
2020,,Y_GE16,,,,,ES01061,PT,ES01061,6.4
2018,,Y_GE16,,,,,ES01061,PT,ES01061,6.8
2019,,Y_GE16,,,,,ES48096,PT,ES48096,13.6
2016,,Y_GE16,,,,,ES48096,PT,ES48096,20.4
2018,,Y_GE16,,,,,ES48096,PT,ES48096,14.8
2015,,Y_GE16,,,,,ES48096,PT,ES48096,20.6
2021,,Y_GE16,,,,,ES48096,PT,ES48096,13.3
2020,,Y_GE16,,,,,ES48096,PT,ES48096,12.9
2010,,Y_GE16,,,,,ES48096,PT,ES48096,9.9
2010,,Y_GE16,,,,,ES01062,PT,ES01062,13.5
2015,,Y_GE16,,,,,ES01062,PT,ES01062,24.5
2019,,Y_GE16,,,,,ES01062,PT,ES01062,14.6
2021,,Y_GE16,,,,,ES01062,PT,ES01062,14.1
2018,,Y_GE16,,,,,ES01062,PT,ES01062,19.6
2020,,Y_GE16,,,,,ES01062,PT,ES01062,10.6
2016,,Y_GE16,,,,,ES01062,PT,ES01062,19.1
2020,,Y_GE16,,,,,ES48905,PT,ES48905,8.5
2019,,Y_GE16,,,,,ES48905,PT,ES48905,9.5
2016,,Y_GE16,,,,,ES48905,PT,ES48905,12.9
2015,,Y_GE16,,,,,ES48905,PT,ES48905,14.6
2018,,Y_GE16,,,,,ES48905,PT,ES48905,9.8
2021,,Y_GE16,,,,,ES48905,PT,ES48905,9.8
2010,,Y_GE16,,,,,ES48905,PT,ES48905,8.9
2021,,Y_GE16,,,,,ES48097,PT,ES48097,13.1
2020,,Y_GE16,,,,,ES48097,PT,ES48097,11.4
2010,,Y_GE16,,,,,ES48097,PT,ES48097,8.9
2015,,Y_GE16,,,,,ES48097,PT,ES48097,17.3
2018,,Y_GE16,,,,,ES48097,PT,ES48097,12.9
2016,,Y_GE16,,,,,ES48097,PT,ES48097,16.4
2019,,Y_GE16,,,,,ES48097,PT,ES48097,13.2
2010,,Y_GE16,,,,,ES20079,PT,ES20079,9.1
2015,,Y_GE16,,,,,ES20079,PT,ES20079,13.8
2020,,Y_GE16,,,,,ES20079,PT,ES20079,7.3
2021,,Y_GE16,,,,,ES20079,PT,ES20079,8.4
2019,,Y_GE16,,,,,ES20079,PT,ES20079,7.6
2018,,Y_GE16,,,,,ES20079,PT,ES20079,8.6
2016,,Y_GE16,,,,,ES20079,PT,ES20079,12.5
2019,,Y_GE16,,,,,ES48024,PT,ES48024,6.9
2021,,Y_GE16,,,,,ES48024,PT,ES48024,8.4
2020,,Y_GE16,,,,,ES48024,PT,ES48024,6.3
2015,,Y_GE16,,,,,ES48024,PT,ES48024,9.4
2016,,Y_GE16,,,,,ES48024,PT,ES48024,7.1
2010,,Y_GE16,,,,,ES48024,PT,ES48024,6.7
2018,,Y_GE16,,,,,ES48024,PT,ES48024,6.5
2021,,Y_GE16,,,,,ES48025,PT,ES48025,9.0
2019,,Y_GE16,,,,,ES48025,PT,ES48025,8.3
2018,,Y_GE16,,,,,ES48025,PT,ES48025,9.7
2016,,Y_GE16,,,,,ES48025,PT,ES48025,11.0
2010,,Y_GE16,,,,,ES48025,PT,ES48025,4.8
2020,,Y_GE16,,,,,ES48025,PT,ES48025,7.9
2015,,Y_GE16,,,,,ES48025,PT,ES48025,12.0
2010,,Y_GE16,,,,,ES20025,PT,ES20025,9.9
2016,,Y_GE16,,,,,ES20025,PT,ES20025,12.2
2020,,Y_GE16,,,,,ES20025,PT,ES20025,5.7
