Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2013,EU_CPA_PTP,,,ES20004,PT,ES20004,0.0
2020,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2015,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2021,EU_CPA_PTP,,,ES20005,PT,ES20005,100.0
2012,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2013,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2011,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2014,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2018,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2024,EU_CPA_PTP,,,ES20005,PT,ES20005,100.0
2023,EU_CPA_PTP,,,ES20005,PT,ES20005,100.0
2010,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2019,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2022,EU_CPA_PTP,,,ES20005,PT,ES20005,100.0
2016,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2017,EU_CPA_PTP,,,ES20005,PT,ES20005,0.0
2022,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2018,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2017,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2021,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2011,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2012,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2014,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2020,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2013,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2015,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2016,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2024,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2023,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2010,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2019,EU_CPA_PTP,,,ES01001,PT,ES01001,100.0
2014,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2023,EU_CPA_PTP,,,ES20006,PT,ES20006,100.0
2017,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2019,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2021,EU_CPA_PTP,,,ES20006,PT,ES20006,100.0
2020,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2018,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2011,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2012,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2015,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2010,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2022,EU_CPA_PTP,,,ES20006,PT,ES20006,100.0
2024,EU_CPA_PTP,,,ES20006,PT,ES20006,100.0
2013,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2016,EU_CPA_PTP,,,ES20006,PT,ES20006,0.0
2016,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2022,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2024,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2020,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2019,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2014,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2012,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2021,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2018,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2011,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2023,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2017,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2013,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2015,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2010,EU_CPA_PTP,,,ES48912,PT,ES48912,100.0
2013,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2018,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2021,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2022,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2014,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2019,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2016,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
2017,EU_CPA_PTP,,,ES20906,PT,ES20906,100.0
