Year,Profesion,Sexo,Territorio,Units,Value
2014,ISCO08_221,F,,PER_10000_POP,60.1
2023,ISCO08_221,F,ES211,PER_10000_POP,74.7
2022,ISCO08_221,F,ES211,PER_10000_POP,72.5
2018,ISCO08_221,F,ES211,PER_10000_POP,64.5
2017,ISCO08_221,F,ES211,PER_10000_POP,63.9
2024,ISCO08_221,F,ES211,PER_10000_POP,77.9
2010,ISCO08_221,F,ES211,PER_10000_POP,52.8
2015,ISCO08_221,F,ES211,PER_10000_POP,62.1
2012,ISCO08_221,F,ES211,PER_10000_POP,57.4
2019,ISCO08_221,F,ES211,PER_10000_POP,66.3
2016,ISCO08_221,F,ES211,PER_10000_POP,63.6
2011,ISCO08_221,F,ES211,PER_10000_POP,55.2
2013,ISCO08_221,F,ES211,PER_10000_POP,59.6
2014,ISCO08_221,F,ES211,PER_10000_POP,61.4
2021,ISCO08_221,F,ES211,PER_10000_POP,70.5
2020,ISCO08_221,F,ES211,PER_10000_POP,67.6
2024,ISCO08_221,F,ES213,PER_10000_POP,88.4
2019,ISCO08_221,F,ES213,PER_10000_POP,74.1
2023,ISCO08_221,F,ES213,PER_10000_POP,85.7
2022,ISCO08_221,F,ES213,PER_10000_POP,82.7
2020,ISCO08_221,F,ES213,PER_10000_POP,76.8
2018,ISCO08_221,F,ES213,PER_10000_POP,70.8
2016,ISCO08_221,F,ES213,PER_10000_POP,66.3
2014,ISCO08_221,F,ES213,PER_10000_POP,62.3
2017,ISCO08_221,F,ES213,PER_10000_POP,68.4
2021,ISCO08_221,F,ES213,PER_10000_POP,79.4
2015,ISCO08_221,F,ES213,PER_10000_POP,64.2
2012,ISCO08_221,F,ES213,PER_10000_POP,59.1
2013,ISCO08_221,F,ES213,PER_10000_POP,60.8
2010,ISCO08_221,F,ES213,PER_10000_POP,54.5
2011,ISCO08_221,F,ES213,PER_10000_POP,56.5
2012,ISCO08_221,F,ES212,PER_10000_POP,52.6
2010,ISCO08_221,F,ES212,PER_10000_POP,49.1
2018,ISCO08_221,F,ES212,PER_10000_POP,62.3
2021,ISCO08_221,F,ES212,PER_10000_POP,70.4
2023,ISCO08_221,F,ES212,PER_10000_POP,75.3
2024,ISCO08_221,F,ES212,PER_10000_POP,77.0
2020,ISCO08_221,F,ES212,PER_10000_POP,67.3
2011,ISCO08_221,F,ES212,PER_10000_POP,51.0
2013,ISCO08_221,F,ES212,PER_10000_POP,54.2
2016,ISCO08_221,F,ES212,PER_10000_POP,58.4
2017,ISCO08_221,F,ES212,PER_10000_POP,60.3
2022,ISCO08_221,F,ES212,PER_10000_POP,73.3
2014,ISCO08_221,F,ES212,PER_10000_POP,55.9
2019,ISCO08_221,F,ES212,PER_10000_POP,64.5
2015,ISCO08_221,F,ES212,PER_10000_POP,57.2
2019,ISCO08_221,M,,PER_10000_POP,60.7
2014,ISCO08_221,M,,PER_10000_POP,58.4
2023,ISCO08_221,M,,PER_10000_POP,63.1
2020,ISCO08_221,M,,PER_10000_POP,61.2
2010,ISCO08_221,M,,PER_10000_POP,56.5
2022,ISCO08_221,M,,PER_10000_POP,62.6
2016,ISCO08_221,M,,PER_10000_POP,58.8
2013,ISCO08_221,M,,PER_10000_POP,57.6
2012,ISCO08_221,M,,PER_10000_POP,57.2
2015,ISCO08_221,M,,PER_10000_POP,58.3
2021,ISCO08_221,M,,PER_10000_POP,61.8
2011,ISCO08_221,M,,PER_10000_POP,57.1
2017,ISCO08_221,M,,PER_10000_POP,59.1
2018,ISCO08_221,M,,PER_10000_POP,59.9
2024,ISCO08_221,M,,PER_10000_POP,63.4
2019,ISCO08_221,M,ES211,PER_10000_POP,55.0
2021,ISCO08_221,M,ES211,PER_10000_POP,54.7
2020,ISCO08_221,M,ES211,PER_10000_POP,54.8
2018,ISCO08_221,M,ES211,PER_10000_POP,54.7
2014,ISCO08_221,M,ES211,PER_10000_POP,54.3
2011,ISCO08_221,M,ES211,PER_10000_POP,52.7
2013,ISCO08_221,M,ES211,PER_10000_POP,53.2
2010,ISCO08_221,M,ES211,PER_10000_POP,51.1
2023,ISCO08_221,M,ES211,PER_10000_POP,55.1
2016,ISCO08_221,M,ES211,PER_10000_POP,53.9
2015,ISCO08_221,M,ES211,PER_10000_POP,53.9
2017,ISCO08_221,M,ES211,PER_10000_POP,54.8
2024,ISCO08_221,M,ES211,PER_10000_POP,54.8
2022,ISCO08_221,M,ES211,PER_10000_POP,55.1
2012,ISCO08_221,M,ES211,PER_10000_POP,52.7
2011,ISCO08_221,M,ES213,PER_10000_POP,60.7
2013,ISCO08_221,M,ES213,PER_10000_POP,61.5
2010,ISCO08_221,M,ES213,PER_10000_POP,60.2
2019,ISCO08_221,M,ES213,PER_10000_POP,66.4
2012,ISCO08_221,M,ES213,PER_10000_POP,60.8
2021,ISCO08_221,M,ES213,PER_10000_POP,68.3
2022,ISCO08_221,M,ES213,PER_10000_POP,69.3
2018,ISCO08_221,M,ES213,PER_10000_POP,65.4
2015,ISCO08_221,M,ES213,PER_10000_POP,62.6
2023,ISCO08_221,M,ES213,PER_10000_POP,70.5
2017,ISCO08_221,M,ES213,PER_10000_POP,63.9
2014,ISCO08_221,M,ES213,PER_10000_POP,62.5
2016,ISCO08_221,M,ES213,PER_10000_POP,63.3
2024,ISCO08_221,M,ES213,PER_10000_POP,71.0
2020,ISCO08_221,M,ES213,PER_10000_POP,67.3
2021,ISCO08_221,M,ES212,PER_10000_POP,54.9
2023,ISCO08_221,M,ES212,PER_10000_POP,55.2
2019,ISCO08_221,M,ES212,PER_10000_POP,54.4
2020,ISCO08_221,M,ES212,PER_10000_POP,54.6
2017,ISCO08_221,M,ES212,PER_10000_POP,53.6
2018,ISCO08_221,M,ES212,PER_10000_POP,53.7
2022,ISCO08_221,M,ES212,PER_10000_POP,55.6
2016,ISCO08_221,M,ES212,PER_10000_POP,53.7
2015,ISCO08_221,M,ES212,PER_10000_POP,53.5
2024,ISCO08_221,M,ES212,PER_10000_POP,55.6
2013,ISCO08_221,M,ES212,PER_10000_POP,53.4
2011,ISCO08_221,M,ES212,PER_10000_POP,53.1
2010,ISCO08_221,M,ES212,PER_10000_POP,53.1
2014,ISCO08_221,M,ES212,PER_10000_POP,53.9
2012,ISCO08_221,M,ES212,PER_10000_POP,53.5
2011,ISCO08_2221_3221,,,PER_10000_POP,70.2
2015,ISCO08_2221_3221,,,PER_10000_POP,73.5
2020,ISCO08_2221_3221,,,PER_10000_POP,78.4
2012,ISCO08_2221_3221,,,PER_10000_POP,70.3
2023,ISCO08_2221_3221,,,PER_10000_POP,89.6
2022,ISCO08_2221_3221,,,PER_10000_POP,80.0
2019,ISCO08_2221_3221,,,PER_10000_POP,76.9
2021,ISCO08_2221_3221,,,PER_10000_POP,79.1
2018,ISCO08_2221_3221,,,PER_10000_POP,76.1
2024,ISCO08_2221_3221,,,PER_10000_POP,88.9
2017,ISCO08_2221_3221,,,PER_10000_POP,75.3
2016,ISCO08_2221_3221,,,PER_10000_POP,74.7
2013,ISCO08_2221_3221,,,PER_10000_POP,70.5
2010,ISCO08_2221_3221,,,PER_10000_POP,68.1
2014,ISCO08_2221_3221,,,PER_10000_POP,72.1
2019,ISCO08_2221_3221,,ES211,PER_10000_POP,86.4
2013,ISCO08_2221_3221,,ES211,PER_10000_POP,78.4
2012,ISCO08_2221_3221,,ES211,PER_10000_POP,77.6
2014,ISCO08_2221_3221,,ES211,PER_10000_POP,81.1
2015,ISCO08_2221_3221,,ES211,PER_10000_POP,82.7
2011,ISCO08_2221_3221,,ES211,PER_10000_POP,77.2
2020,ISCO08_2221_3221,,ES211,PER_10000_POP,87.5
2022,ISCO08_2221_3221,,ES211,PER_10000_POP,89.0
2018,ISCO08_2221_3221,,ES211,PER_10000_POP,87.4
2024,ISCO08_2221_3221,,ES211,PER_10000_POP,89.4
2023,ISCO08_2221_3221,,ES211,PER_10000_POP,89.5
2021,ISCO08_2221_3221,,ES211,PER_10000_POP,88.6
2016,ISCO08_2221_3221,,ES211,PER_10000_POP,84.2
2017,ISCO08_2221_3221,,ES211,PER_10000_POP,86.0
2010,ISCO08_2221_3221,,ES211,PER_10000_POP,75.4
2013,ISCO08_2221_3221,,ES213,PER_10000_POP,68.6
2016,ISCO08_2221_3221,,ES213,PER_10000_POP,73.3
2014,ISCO08_2221_3221,,ES213,PER_10000_POP,70.1
2012,ISCO08_2221_3221,,ES213,PER_10000_POP,68.4
2023,ISCO08_2221_3221,,ES213,PER_10000_POP,81.2
2010,ISCO08_2221_3221,,ES213,PER_10000_POP,65.4
2017,ISCO08_2221_3221,,ES213,PER_10000_POP,74.2
2024,ISCO08_2221_3221,,ES213,PER_10000_POP,82.4
2022,ISCO08_2221_3221,,ES213,PER_10000_POP,79.6
2020,ISCO08_2221_3221,,ES213,PER_10000_POP,77.9
2018,ISCO08_2221_3221,,ES213,PER_10000_POP,75.3
2021,ISCO08_2221_3221,,ES213,PER_10000_POP,78.7
2015,ISCO08_2221_3221,,ES213,PER_10000_POP,71.9
2011,ISCO08_2221_3221,,ES213,PER_10000_POP,67.9
2019,ISCO08_2221_3221,,ES213,PER_10000_POP,76.2
2013,ISCO08_2221_3221,,ES212,PER_10000_POP,70.0
2015,ISCO08_2221_3221,,ES212,PER_10000_POP,72.0
2019,ISCO08_2221_3221,,ES212,PER_10000_POP,73.7
2011,ISCO08_2221_3221,,ES212,PER_10000_POP,70.8
2016,ISCO08_2221_3221,,ES212,PER_10000_POP,72.6
2020,ISCO08_2221_3221,,ES212,PER_10000_POP,75.0
2014,ISCO08_2221_3221,,ES212,PER_10000_POP,71.3
2022,ISCO08_2221_3221,,ES212,PER_10000_POP,76.4
2012,ISCO08_2221_3221,,ES212,PER_10000_POP,70.1
2018,ISCO08_2221_3221,,ES212,PER_10000_POP,72.3
2010,ISCO08_2221_3221,,ES212,PER_10000_POP,69.3
2024,ISCO08_2221_3221,,ES212,PER_10000_POP,98.9
2023,ISCO08_2221_3221,,ES212,PER_10000_POP,103.2
2021,ISCO08_2221_3221,,ES212,PER_10000_POP,75.4
2017,ISCO08_2221_3221,,ES212,PER_10000_POP,72.3
2011,ISCO08_2221_3221,F,,PER_10000_POP,123.3
2022,ISCO08_2221_3221,F,,PER_10000_POP,138.1
2024,ISCO08_2221_3221,F,,PER_10000_POP,153.5
2015,ISCO08_2221_3221,F,,PER_10000_POP,129.6
2021,ISCO08_2221_3221,F,,PER_10000_POP,136.9
2014,ISCO08_2221_3221,F,,PER_10000_POP,127.4
2013,ISCO08_2221_3221,F,,PER_10000_POP,124.8
2019,ISCO08_2221_3221,F,,PER_10000_POP,134.0
2016,ISCO08_2221_3221,F,,PER_10000_POP,131.2
2010,ISCO08_2221_3221,F,,PER_10000_POP,121.2
2020,ISCO08_2221_3221,F,,PER_10000_POP,135.8
2018,ISCO08_2221_3221,F,,PER_10000_POP,133.1
2023,ISCO08_2221_3221,F,,PER_10000_POP,154.4
2017,ISCO08_2221_3221,F,,PER_10000_POP,132.2
2012,ISCO08_2221_3221,F,,PER_10000_POP,123.5
2024,ISCO08_2221_3221,F,ES211,PER_10000_POP,155.3
2017,ISCO08_2221_3221,F,ES211,PER_10000_POP,154.5
2010,ISCO08_2221_3221,F,ES211,PER_10000_POP,138.2
2018,ISCO08_2221_3221,F,ES211,PER_10000_POP,156.3
2022,ISCO08_2221_3221,F,ES211,PER_10000_POP,155.9
2019,ISCO08_2221_3221,F,ES211,PER_10000_POP,153.5
2011,ISCO08_2221_3221,F,ES211,PER_10000_POP,141.7
2013,ISCO08_2221_3221,F,ES211,PER_10000_POP,143.3
2016,ISCO08_2221_3221,F,ES211,PER_10000_POP,151.9
2020,ISCO08_2221_3221,F,ES211,PER_10000_POP,154.7
2014,ISCO08_2221_3221,F,ES211,PER_10000_POP,147.2
2012,ISCO08_2221_3221,F,ES211,PER_10000_POP,142.4
2023,ISCO08_2221_3221,F,ES211,PER_10000_POP,156.3
2021,ISCO08_2221_3221,F,ES211,PER_10000_POP,155.3
2015,ISCO08_2221_3221,F,ES211,PER_10000_POP,150.0
2012,ISCO08_2221_3221,F,ES213,PER_10000_POP,117.4
2016,ISCO08_2221_3221,F,ES213,PER_10000_POP,125.0
2017,ISCO08_2221_3221,F,ES213,PER_10000_POP,126.4
2023,ISCO08_2221_3221,F,ES213,PER_10000_POP,135.6
2010,ISCO08_2221_3221,F,ES213,PER_10000_POP,112.5
2019,ISCO08_2221_3221,F,ES213,PER_10000_POP,128.9
2015,ISCO08_2221_3221,F,ES213,PER_10000_POP,122.9
2011,ISCO08_2221_3221,F,ES213,PER_10000_POP,116.6
2020,ISCO08_2221_3221,F,ES213,PER_10000_POP,130.9
2022,ISCO08_2221_3221,F,ES213,PER_10000_POP,133.4
2018,ISCO08_2221_3221,F,ES213,PER_10000_POP,128.0
2013,ISCO08_2221_3221,F,ES213,PER_10000_POP,117.7
2024,ISCO08_2221_3221,F,ES213,PER_10000_POP,137.5
2014,ISCO08_2221_3221,F,ES213,PER_10000_POP,120.1
2021,ISCO08_2221_3221,F,ES213,PER_10000_POP,132.2
2013,ISCO08_2221_3221,F,ES212,PER_10000_POP,128.3
2015,ISCO08_2221_3221,F,ES212,PER_10000_POP,131.4
2019,ISCO08_2221_3221,F,ES212,PER_10000_POP,133.4
2011,ISCO08_2221_3221,F,ES212,PER_10000_POP,126.1
2016,ISCO08_2221_3221,F,ES212,PER_10000_POP,132.2
