Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2024,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,596.6
2017,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,719.9
2016,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,668.1
2023,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,470.3
2010,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,678.5
2013,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,595.9
2019,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,737.7
2022,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,537.5
2011,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,625.7
2018,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,745.2
2014,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,703.6
2012,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,716.4
2021,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,512.4
2020,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,560.7
2015,EU_SH_DTH_NCOM,,,,,ES48002,PER_100000_POP,ES48002,999.6
2012,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,222.2
2022,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,611.0
2024,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,403.2
2016,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,211.4
2023,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,402.4
2020,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,1040.6
2017,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,1040.6
2011,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,223.7
2013,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,217.4
2015,EU_SH_DTH_NCOM,,,,,ES20002,PER_100000_POP,ES20002,215.1
2018,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,455.6
2012,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,394.1
2021,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,401.9
2015,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,467.8
2023,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,606.9
2019,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,638.6
2014,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,373.8
2022,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,458.5
2020,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,435.3
2013,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,452.7
2010,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,816.1
2017,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,610.3
2024,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,506.7
2011,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,602.2
2016,EU_SH_DTH_NCOM,,,,,ES01051,PER_100000_POP,ES01051,519.2
2019,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,652.8
2011,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,703.7
2021,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,438.5
2012,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,648.5
2017,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,840.5
2013,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,746.3
2018,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,746.6
2010,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,302.6
2014,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,545.2
2016,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,345.9
2023,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,474.8
2024,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,752.2
2015,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,494.3
2020,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,547.5
2022,EU_SH_DTH_NCOM,,,,,ES20016,PER_100000_POP,ES20016,476.6
2018,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,523.2
2013,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,398.9
2016,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,394.0
2022,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,397.9
2011,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,552.5
2021,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,525.3
2012,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,672.0
2010,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,286.9
2020,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,389.6
2017,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,390.9
2015,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,397.6
2019,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,522.2
2014,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,662.7
2024,EU_SH_DTH_NCOM,,,,,ES20003,PER_100000_POP,ES20003,131.4
2023,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,642.4
2015,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,1525.1
2011,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,885.9
2019,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,1567.7
2022,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,1084.6
2010,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,671.9
2013,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,666.7
2024,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,865.8
2012,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,446.4
2016,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,647.2
2020,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,220.8
2017,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,1304.3
2014,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,440.0
2018,EU_SH_DTH_NCOM,,,,,ES48911,PER_100000_POP,ES48911,878.2
2017,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,1320.1
2018,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,668.9
2022,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,331.1
2019,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,679.1
2013,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,328.9
2012,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,335.6
2014,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,660.1
2010,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,1034.5
2023,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,641.0
2024,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,323.6
2016,EU_SH_DTH_NCOM,,,,,ES20004,PER_100000_POP,ES20004,1957.6
2021,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,997.5
2023,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,593.6
2016,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,455.1
2010,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,398.4
2018,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,285.3
2024,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,699.3
2014,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,506.3
2017,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,569.8
2013,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,671.1
2011,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,839.6
2012,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,502.1
2022,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,499.4
2019,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,563.5
2020,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,387.4
2015,EU_SH_DTH_NCOM,,,,,ES20005,PER_100000_POP,ES20005,452.7
2023,EU_SH_DTH_NCOM,,,,,ES01001,PER_100000_POP,ES01001,442.1
