Year,Series,Institucion,Territorio,Units,Value
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.47
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.56
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.49
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.42
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.51
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.48
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.55
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.52
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.53
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.56
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.56
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.48
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.54
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.53
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.6
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.5
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.47
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.46
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.44
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.45
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.46
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.5
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.45
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2021,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27
2023,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29
2022,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29
