Year,Series,Institucion,Territorio,Units,Value
2020,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2018,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.19
2019,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.17
2011,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.18
2023,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15
2014,SG_DMK_JDC,,,RO,1.23
2010,SG_DMK_JDC,,,RO,1.15
2023,SG_DMK_JDC,,,RO,1.22
2021,SG_DMK_JDC,,,RO,1.23
2022,SG_DMK_JDC,,,RO,1.2
2018,SG_DMK_JDC,,,RO,1.21
2013,SG_DMK_JDC,,,RO,1.23
2015,SG_DMK_JDC,,,RO,1.24
2017,SG_DMK_JDC,,,RO,1.22
2020,SG_DMK_JDC,,,RO,1.24
2011,SG_DMK_JDC,,,RO,1.22
2019,SG_DMK_JDC,,,RO,1.23
2012,SG_DMK_JDC,,,RO,1.17
2016,SG_DMK_JDC,,,RO,1.2
