Year,Habilidad_IT,Edad,Sexo,Territorio,Units,Value
2021,ICTPRVCY,Y16T24,,ES212,PT,47.3
2022,ICTPRVCY,Y16T24,,ES212,PT,35.6
2024,ICTPRVCY,Y16T24,,ES212,PT,31.0
2022,ICTPRVCY,Y16T24,F,,PT,33.3
2023,ICTPRVCY,Y16T24,F,,PT,43.7
2020,ICTPRVCY,Y16T24,F,,PT,46.3
2021,ICTPRVCY,Y16T24,F,,PT,38.3
2024,ICTPRVCY,Y16T24,F,,PT,27.4
2019,ICTPRVCY,Y16T24,F,,PT,20.9
2023,ICTPRVCY,Y16T24,F,ES211,PT,40.9
2019,ICTPRVCY,Y16T24,F,ES211,PT,16.0
2021,ICTPRVCY,Y16T24,F,ES211,PT,38.0
2020,ICTPRVCY,Y16T24,F,ES211,PT,53.0
2022,ICTPRVCY,Y16T24,F,ES211,PT,37.7
2024,ICTPRVCY,Y16T24,F,ES211,PT,39.4
2020,ICTPRVCY,Y16T24,F,ES213,PT,45.2
2023,ICTPRVCY,Y16T24,F,ES213,PT,39.8
2024,ICTPRVCY,Y16T24,F,ES213,PT,21.2
2021,ICTPRVCY,Y16T24,F,ES213,PT,39.1
2022,ICTPRVCY,Y16T24,F,ES213,PT,29.0
2019,ICTPRVCY,Y16T24,F,ES213,PT,23.5
2022,ICTPRVCY,Y16T24,F,ES212,PT,38.1
2024,ICTPRVCY,Y16T24,F,ES212,PT,31.2
2023,ICTPRVCY,Y16T24,F,ES212,PT,50.5
2021,ICTPRVCY,Y16T24,F,ES212,PT,37.2
2020,ICTPRVCY,Y16T24,F,ES212,PT,44.9
2019,ICTPRVCY,Y16T24,F,ES212,PT,19.6
2020,ICTPRVCY,Y16T24,M,,PT,47.9
2024,ICTPRVCY,Y16T24,M,,PT,34.1
2021,ICTPRVCY,Y16T24,M,,PT,53.3
2022,ICTPRVCY,Y16T24,M,,PT,40.0
2023,ICTPRVCY,Y16T24,M,,PT,47.3
2019,ICTPRVCY,Y16T24,M,,PT,32.8
2022,ICTPRVCY,Y16T24,M,ES211,PT,42.9
2024,ICTPRVCY,Y16T24,M,ES211,PT,35.8
2021,ICTPRVCY,Y16T24,M,ES211,PT,42.2
2019,ICTPRVCY,Y16T24,M,ES211,PT,35.2
2020,ICTPRVCY,Y16T24,M,ES211,PT,49.0
2023,ICTPRVCY,Y16T24,M,ES211,PT,38.2
2022,ICTPRVCY,Y16T24,M,ES213,PT,43.8
2020,ICTPRVCY,Y16T24,M,ES213,PT,47.4
