Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2013,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,98.15
2020,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,84.82
2017,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,96.18
2010,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,108.22
2012,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,98.45
2015,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,95.38
2018,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,98.06
2022,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,99.56
2019,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,95.44
2021,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,97.64
2014,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,95.11
2023,EU_XPD_LOCALGBPC,,,ES20009,PT,ES20009,99.56
2019,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,101.45
2012,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,87.17
2014,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,95.89
2023,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,121.8
2013,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,82.97
2020,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,108.49
2010,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,69.14
2011,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,80.81
2016,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,68.48
2022,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,85.02
2018,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,95.41
2021,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,106.07
2015,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,75.6
2017,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,109.14
2020,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,104.92
2022,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,113.26
2011,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,101.46
2017,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,93.8
2016,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,102.96
2023,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,111.51
2021,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,86.47
2019,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,101.07
2014,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,111.43
2013,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,108.32
2010,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,94.1
2012,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,95.13
2015,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,95.44
2018,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,110.99
2012,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,154.2
2022,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,46.86
2013,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,121.97
2016,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,94.4
2010,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,289.5
2023,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,94.32
2015,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,152.05
2014,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,105.39
2020,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,46.8
2017,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,47.57
2011,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,172.0
2018,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,91.99
2021,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,23.85
2019,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,77.01
