Year,Uso,Territorio,Units,Value
2018,H20_AGR,,M3,1131076.3
2021,H20_AGR,,M3,1065919.0
2022,H20_AGR,,M3,1827137.7
2021,H20_AGR,ES211,M3,256133.2
2022,H20_AGR,ES211,M3,895748.9
2024,H20_AGR,ES211,M3,1016882.7
2023,H20_AGR,ES211,M3,984376.7
2022,H20_AGR,ES213,M3,704744.6
2021,H20_AGR,ES213,M3,660993.0
2024,H20_AGR,ES213,M3,671002.4
2023,H20_AGR,ES213,M3,694183.4
2023,H20_AGR,ES212,M3,372508.6
2022,H20_AGR,ES212,M3,226644.3
2024,H20_AGR,ES212,M3,266590.4
2021,H20_AGR,ES212,M3,148793.0
2017,H20_OTR,,M3,1631735.3
2018,H20_OTR,,M3,1707479.9
2013,H20_OTR,,M3,1203523.7
2019,H20_OTR,,M3,1720927.5
2023,H20_OTR,,M3,1577879.3
2022,H20_OTR,,M3,1805713.9
2021,H20_OTR,,M3,1790472.0
2024,H20_OTR,,M3,2306375.9
2016,H20_OTR,,M3,1522943.9
2020,H20_OTR,,M3,1638772.1
2024,H20_OTR,ES211,M3,224369.4
2023,H20_OTR,ES211,M3,196804.0
2022,H20_OTR,ES211,M3,176484.9
2021,H20_OTR,ES211,M3,176878.9
2024,H20_OTR,ES213,M3,1632680.5
2023,H20_OTR,ES213,M3,1088286.9
2022,H20_OTR,ES213,M3,1251232.9
2021,H20_OTR,ES213,M3,1251139.6
2024,H20_OTR,ES212,M3,449326.1
2023,H20_OTR,ES212,M3,292788.4
2022,H20_OTR,ES212,M3,377996.1
2021,H20_OTR,ES212,M3,362453.8
